content_key	mismatch_population	changed_payload_field_count	projection_mismatch_count	projection_mismatch_columns	current_payload_sha256	planned_payload_sha256	planned_content_key_recompute	db_payload_recompute	task_source_key_match	repair_eligible	ineligibility_reason
111910e5fe562998a70764e07828cccdf3451898139c4ff6a1fd07c9dd63e2ce	P2	1	1	construction_control	49cb91e2b0386794d3f0ec8b2c198084e123c0ef0abdb2276409763912777148	d2ee27e336048b4881485edf8c640c6bbfb208198e349b138ac242359fdabe06	MATCH	MISMATCH	YES	YES	
112a9ba4ce211fca02db2b4b11e83d3191fd5718595a8e2e93caf59c05bbcb55	P2	1	1	work_mid	b67c5d1a5e8cdfb6c4a3f9e1a5880736c5cfd569c1479a7111610ca459681224	cd9300aa5ee8a2debd83296f0e26f113837f118aba119e1b6b64fec01c551120	MATCH	MISMATCH	YES	YES	
13da90e5be0563ebd4c2f65e516230dcf926539e26439da63c9cb67d2c68363e	P1	19	19	cause,construction_control,design_control,facility_big,facility_mid,facility_small,hazard_location_big,hazard_location_mid,hazard_location_mid_code,hazard_location_small,hazard_object_big,hazard_object_mid,human_damage,likelihood,property_damage,severity,task,work_big,work_mid	b5a3b1ac1c84458ae04cce302fbe0d4489e02724c04b17504d16d6ec9ed60c2b	4e3da1dc18651a07ad9bca75f8011b2daa03e5446cab271b3fccf6c9074e5ad5	MATCH	MISMATCH	YES	YES	
1d49fc17028c60287a6b2f89723730688a0d741a2c4cb2ecf9747479f499138a	P1	19	19	cause,construction_control,design_control,facility_big,facility_mid,facility_small,hazard_location_big,hazard_location_mid,hazard_location_mid_code,hazard_location_small,hazard_object_big,hazard_object_mid,human_damage,likelihood,property_damage,severity,task,work_big,work_mid	b5a3b1ac1c84458ae04cce302fbe0d4489e02724c04b17504d16d6ec9ed60c2b	1b1879f82daca8f8b83e5b5d2ae50230e80eb26cbe1656a0ebc702c7d6f7d89c	MATCH	MISMATCH	YES	YES	
2eb476cd01ce7a8a3b2a27642513f45dae48576f34ee839e26f2de8e72f645bd	P1	19	19	cause,construction_control,design_control,facility_big,facility_mid,facility_small,hazard_location_big,hazard_location_mid,hazard_location_mid_code,hazard_location_small,hazard_object_big,hazard_object_mid,human_damage,likelihood,property_damage,severity,task,work_big,work_mid	b5a3b1ac1c84458ae04cce302fbe0d4489e02724c04b17504d16d6ec9ed60c2b	d5b26c1685a104e37833e77ec3a73972a358048094eed5114671d7d66fc4f17d	MATCH	MISMATCH	YES	YES	
3fe9af53a27a7028f7de08bb25012472f182564e982955cd577c5109553acae3	P2	1	1	construction_control	77dfbc8910477219ab229ea6f8a35235b563578c84d0a1303cc2f6e52031893a	c79344a1a131a4ad8933162bcb31bbf7dc77435fc8c34e93ef53db21544023ea	MATCH	MISMATCH	YES	YES	
400ee476fb0def536f165c8cf0626c1ba737246f1eeddb11fec5c3ba55aec3f7	P2	1	1	construction_control	d5098e0aea67ccd24c426c31430d30366b18c5c77cc5eb1c9949fd2d6b34e68b	81be8d7794a64fff7be8220f62493322e2e0b9ef9681eaa0626cde18584c3c00	MATCH	MISMATCH	YES	YES	
4a48cec14fd590b29953dca0f2ede57af5e3dd9fbb6341b22e7a22606b1df53f	P2	4	4	cause,design_control,hazard_location_mid,hazard_object_mid	61652eed47b660c839aa3dc5f3a43893fc722e26ab3dc332998a8fb625c0e602	318287535cc1854d0f10677f41459638d15a9ba5796d2a531b13ed8b5efc0b88	MATCH	MISMATCH	YES	YES	
4c9c700284a033d9b3425537308155aa7125910d81ffa6ebf4201d6f2d549116	P2	1	2	design_control,hazard_object_mid	18f5f776397d3a2b426b5606da596c88b8c61c6258e8fbd92c2b4b95387fec5d	ae961987d3089f73e93c48361f2c3a85239c0c30822b2656c07d05a20ef5322d	MATCH	MISMATCH	YES	YES	
8d83168071addb24e97db1488afa362a0b03ced644e5730ba6418a9b383a5eaa	P2	3	3	cause,hazard_location_mid,hazard_object_mid	f688548055495baf4b6d4d131243b55da7d0d4481d2f791680a8f3b2fd691044	b3620610ba03e1a5ada8e4d74236a5ea9c274212eda8bdb64d4f728bd9dbb864	MATCH	MISMATCH	YES	YES	
