batch_no	seed_proposal_key	source_id	source_key	kind_before	semantic_review_decision	semantic_kind_override	merge_partner_batch	review_basis	approval_state
1	e3f1c96f3daa34bff9a644b8e17743ef0bfde3a1bcc201fe245568d6a901a517	KALIS_RISK_PROFILE	50b433c1451221bded4c5446bf7e278229c545f62d931ce4f7887b4ae2edfe1c	TASK	MERGE_CANDIDATE	TASK	5	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
2	a32bd6e6f4ca8dcf6449293805d06f15267a6dfe8df9d3cda41f63e210c96835	KALIS_RISK_PROFILE	000dc031efd7a9e83515866c879b62ced7f35b5269ec2da5686ea40dcc199c87	TASK	MERGE_CANDIDATE	TASK	4	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
3	c4ab6dcd8c14e0a41e80aa19b1ca80cd2706bd5016577c308e6c09fa5a4c7177	KALIS_RISK_PROFILE	3c95857535d514d4d505930e0362872b14c69f5e86ef07a8444eb45407738dca	TASK	MERGE_CANDIDATE	TASK	10	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
4	eb840a219732456c6b3122ff7e7c0acc79e5afb0351c5a21ee3712342b78cef8	KALIS_RISK_PROFILE	6122964f50c7a3a2a72d4e9d54fc6953eb89dbe8bbda6dd0ac52234e42bfb117	TASK	MERGE_CANDIDATE	TASK	2	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
5	57839066978061669f87361165737c28b9c1a8293bdc3fe07cbcfeb0692bbac1	KALIS_RISK_PROFILE	85fd02acec1d699ea0a4c5d49c0b8ae22f8a0789f3b6ea15caaead7d7ec379b1	TASK	MERGE_CANDIDATE	TASK	1	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
6	b884c575a6056ed309d8f2e0d5b403416abb2f83ee5785483d0d5f1f2c66a092	KALIS_RISK_PROFILE	5f93221a423abf12677f5b93f3c3010718ae1f9001503ffee7b041f964c31de8	TASK	MERGE_CANDIDATE	TASK	11	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
7	e2006ef2b754341c9377bcf9ef47df728855d46dabd9fdf4eb07ce6463403fda	KALIS_RISK_PROFILE	cb1da1f4d48a41118652aabd9f28b9cd2ca782be7b3aa2375a3833c5b1ecd9c6	TASK	MERGE_CANDIDATE	TASK	22	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
8	9e8e1a55464f547b0e9d502829e7f900d9b8f36fd7d583ed523e7dabeb698d46	KALIS_RISK_PROFILE	df1a5e2b5e585a68ef0ed6ab52001aca7fd6c6da0d132cc5027c1f6123a0f95b	TASK	MERGE_CANDIDATE	TASK	47	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
9	2d11769704bcf2adead6f2d68ba7620017f20dc5d66c99fd1f173f333dddf1db	KALIS_RISK_PROFILE	edcd366ee1c0d9d6f69529b81f9cdca359d959bd5c565545f74eb79e63f9502f	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
10	1d9365519258d775e61bf1941c76a5b2181b78673302f99f266d10b37903474a	KALIS_RISK_PROFILE	2c8f874ff2e97df3f4ec0223725a69405f9b3bebc60a68a861bc0176359715a1	TASK	MERGE_CANDIDATE	TASK	3	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
11	6ce091b7327b62680a97e1c4e649999a65144bf7c7754327a8e5754e5565746b	KALIS_RISK_PROFILE	279f5b5057fc5fb8ce4b04db372c20e67d5695da75fdbd4d7c7de9a72c3ae50c	TASK	MERGE_CANDIDATE	TASK	6	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
12	12b94b80fb5514c7623c43171e881e5b84c98887a14d67c55f18209291526316	KALIS_RISK_PROFILE	61aaa2147235271432668ebee20fa892a84e7eb533b09047c3cdd4204fac4835	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
