batch_no	seed_proposal_key	source_id	source_key	source_node_type	name	source_path	root_name	root_source_key	parent_name	parent_source_key	parent_path	grandparent_name	grandparent_path	depth	is_leaf	child_count	descendant_count	descendant_leaf_count	sample_children	sibling_count	sample_siblings	ancestor_chain	same_name_cicw_count	same_name_cicw_paths	same_name_other_source_count	same_name_other_source_refs	reviewed_anchor_relation	reviewed_anchor_batch_no	reviewed_anchor_name	reviewed_anchor_semantic_kind	reviewed_anchor_decision	lexical_cues	current_semantic_kind	current_review_decision	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
201	365f2d2491bee062fd5fe945d8c72e15b0fa189edc2975b3349c5120a4c597f9	CIC_W	01	W_ROOT	공사일반사항및공사비	공사일반사항및공사비	공사일반사항및공사비	01						1	NO	2	20	18	공사일반사항 | 공사비	0		공사일반사항및공사비	1	공사일반사항및공사비	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
202	732cfa4d6f20934e81e9510019b77e25fc7335b83723c682750ef7f11bbf64d7	CIC_W	02	W_ROOT	가설건물 시설물(간접가설공사)	가설건물 시설물(간접가설공사)	가설건물 시설물(간접가설공사)	02						1	NO	8	53	45	가설부지 | 발주자용가설건물 시설 | 도급자용가설건물 | 가설편의시설및부대시설 | 업무용운송시설 | 가설울타리및현장출입문 | 가설안내시설및표지판 | 가설설비	0		가설건물 시설물(간접가설공사)	1	가설건물 시설물(간접가설공사)	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
203	c0ca4255abac56f09d5c67f6aaf964c337f57f4b95c03972b155d5aaad8e03d3	CIC_W	03	W_ROOT	본공사성가설공사	본공사성가설공사	본공사성가설공사	03						1	NO	7	22	15	공사용가설도로 | 가설작업보조시설 | 가설흙막이및지보공사 | 터널가설 | 교량가설 | 가물막이 | 가체절	0		본공사성가설공사	1	본공사성가설공사	0		CHILD	100	가물막이	PROCESS	KEEP_AS_DISTINCT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
204	db101f4ddec107e52c12c2fc16fdd8a93cfbf1c5c8dc6853b0d7d497d9fa9a3a	CIC_W	05	W_ROOT	현장유지관리	현장유지관리	현장유지관리	05						1	NO	3	16	13	가설공해방지 | 기존도로유지보수 | 준공및현장정리	0		현장유지관리	1	현장유지관리	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
205	e8a9bd2b553cfbd43996e2bb74b28e0618924c6a1bfe3364c35bad5f5c706530	CIC_W	06	W_ROOT	공통장비	공통장비	공통장비	06						1	NO	6	18	12	장비운반 | 인양장비 | 운반장비 | 토공장비 | 다짐장비 | 가설플랜트	0		공통장비	1	공통장비	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
206	15d1005ded119e37d0cd125e9cf855a84b37dc83a13499479c3a2eab00e4ebed	CIC_W	07	W_ROOT	품질시험	품질시험	품질시험	07						1	NO	7	20	13	공통품질시험 | 토목품질시험 | 건축품질시험 | 기계품질시험 | 전기품질시험 | 통신품질시험 | 기타품질시험	0		품질시험	1	품질시험	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
207	ce9fb3e2a46aa2537470b08a1c5b2e396d1977583cbc5910cd14712712d62673	CIC_W	08	W_ROOT	건축품질시험	건축품질시험	건축품질시험	08						1	NO	6	24	18	건축선정시험(토공 기초 구조체) | 건축관리시험(토공 기초 구조체) | 건축관리시험(단열 방수 지붕) | 건축관리시험(마감) | 건축기계 전기시험 | 건축공사검사시험	0		건축품질시험	2	품질시험 > 건축품질시험 | 건축품질시험	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
208	1af0df0bcd9381ff3cb50d3fb691afb696ae51bd5478c071c3bacec4ee5cc606	CIC_W	11	W_ROOT	측량	측량	측량	11						1	NO	7	47	40	기본측량 | 지형측량 | 하해측량 | 노선측량 | 지적측량 | 시공측량 | 기타응용측량	0		측량	1	측량	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
209	97e8fc9a7c43d303dce304a9c43ac6c022686b3e8be9b77e9144f3c03336714d	CIC_W	12	W_ROOT	계측	계측	계측	12						1	NO	9	36	27	토공사계측 | 구조체계측 | 터널공사계측 | 교량공사계측 | 댐 제방계측 | 단열 방음및방수공사계측 | 전기설비계측 | 기계설비계측 | 기타공사계측	0		계측	1	계측	0		SAME_ROOT	83	RockBolt축력및인발측정	AMBIGUOUS	HOLD	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
210	6e2c7f3735566729ef09ff14216d26e2a78ec72e8bc12a51ba9992c97de2fc39	CIC_W	13	W_ROOT	지반조사	지반조사	지반조사	13						1	NO	6	22	16	시험굴착 | 시추(보링) | 샘플링 | 현장시험 | 실내실험 | 암석 암반시험	0		지반조사	1	지반조사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
