batch_no	seed_proposal_key	source_id	source_key	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	approval_state
201	365f2d2491bee062fd5fe945d8c72e15b0fa189edc2975b3349c5120a4c597f9	CIC_W	01	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
202	732cfa4d6f20934e81e9510019b77e25fc7335b83723c682750ef7f11bbf64d7	CIC_W	02	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
203	c0ca4255abac56f09d5c67f6aaf964c337f57f4b95c03972b155d5aaad8e03d3	CIC_W	03	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
204	db101f4ddec107e52c12c2fc16fdd8a93cfbf1c5c8dc6853b0d7d497d9fa9a3a	CIC_W	05	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
205	e8a9bd2b553cfbd43996e2bb74b28e0618924c6a1bfe3364c35bad5f5c706530	CIC_W	06	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
206	15d1005ded119e37d0cd125e9cf855a84b37dc83a13499479c3a2eab00e4ebed	CIC_W	07	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
207	ce9fb3e2a46aa2537470b08a1c5b2e396d1977583cbc5910cd14712712d62673	CIC_W	08	AMBIGUOUS	PROCESS	MERGE_CANDIDATE	UNRESOLVED	NOT_APPROVED
208	1af0df0bcd9381ff3cb50d3fb691afb696ae51bd5478c071c3bacec4ee5cc606	CIC_W	11	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
209	97e8fc9a7c43d303dce304a9c43ac6c022686b3e8be9b77e9144f3c03336714d	CIC_W	12	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
210	6e2c7f3735566729ef09ff14216d26e2a78ec72e8bc12a51ba9992c97de2fc39	CIC_W	13	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
211	38b3879ccf8479602ef9df0ea5885a0e496197255462a7b35d1898685070be26	CIC_W	18	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
212	1947811c63d0c16f4119a0ccdd19b8ed4d2272f39ae0fe249faddf762bc002f1	CIC_W	21	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
213	0990b09fe59e497b5f0c05a146e28abea2965e6bf121ae9bae658a3deb877660	CIC_W	22	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
214	056d749d4602beb449a705af003e810884ec9a027bed43d9892484a79862eeed	CIC_W	23	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
215	ce54e888f4f6b9d6d9cf2de195593dca6cd896cd927157347a352b552520bb17	CIC_W	24	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
216	b83757c86a8fc1de9faaa1ed3d4a091cb1a2b36914c34468e8fd97b70595ceb1	CIC_W	25	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
217	14c2c897b56fe58093fe57dbde41107553c1ddd72a85c41a1c8b9ae105653c67	CIC_W	26	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
218	5abad6fd66555cb2dfa6e2bebdd6b6b4f284e898aa2097f09d948f30008041d0	CIC_W	27	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
219	0b5d8548b3bd86a2b349a375bad2d0663ac228ead7ab53ee77649882199e5643	CIC_W	31	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
