review_no	seed_proposal_key	source_key	name	source_path	root_name	root_source_key	parent_name	parent_source_key	parent_semantic_kind	parent_review_decision	parent_leaf_family_policy	sibling_count	sibling_names	reviewed_sibling_count	reviewed_sibling_refs	same_name_cicw_count	same_name_cicw_paths	same_name_other_source_count	same_name_other_source_refs	lexical_cues	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
692	1c27fb2b6ddb57c249eec187ad9f7b5429220441a8b1c1c69f63d7dc44a2362b	0112	공사계획	공사일반사항및공사비 > 공사일반사항 > 공사계획	공사일반사항및공사비	01	공사일반사항	011	CLASSIFICATION	REJECT	NOT_ASSESSED	8	공사개요 | 서류및샘플제출 | 검측 기성 | 품질관리 | 공사회의 | 공사관리 | 시운전 | 준공및하자보수	1	0111:공사개요:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사일반사항 > 공사계획	0		NONE	PENDING	PENDING	EMPTY	EMPTY
693	4f771ed8aaaa889b00cdd15bf8336bc5bc6287c697f4620743c514dff2ee98d4	0113	서류및샘플제출	공사일반사항및공사비 > 공사일반사항 > 서류및샘플제출	공사일반사항및공사비	01	공사일반사항	011	CLASSIFICATION	REJECT	NOT_ASSESSED	8	공사개요 | 공사계획 | 검측 기성 | 품질관리 | 공사회의 | 공사관리 | 시운전 | 준공및하자보수	1	0111:공사개요:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사일반사항 > 서류및샘플제출	0		NONE	PENDING	PENDING	EMPTY	EMPTY
694	5b82226c8c79638884fc1868a41a8feab47299949f5b56f20be6627335d08b68	0114	검측 기성	공사일반사항및공사비 > 공사일반사항 > 검측 기성	공사일반사항및공사비	01	공사일반사항	011	CLASSIFICATION	REJECT	NOT_ASSESSED	8	공사개요 | 공사계획 | 서류및샘플제출 | 품질관리 | 공사회의 | 공사관리 | 시운전 | 준공및하자보수	1	0111:공사개요:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사일반사항 > 검측 기성	0		NONE	PENDING	PENDING	EMPTY	EMPTY
695	07afa487dbeb905134bbcead0f7de198d291587b85605382c5ee257c55904c6d	0115	품질관리	공사일반사항및공사비 > 공사일반사항 > 품질관리	공사일반사항및공사비	01	공사일반사항	011	CLASSIFICATION	REJECT	NOT_ASSESSED	8	공사개요 | 공사계획 | 서류및샘플제출 | 검측 기성 | 공사회의 | 공사관리 | 시운전 | 준공및하자보수	1	0111:공사개요:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사일반사항 > 품질관리	0		NONE	PENDING	PENDING	EMPTY	EMPTY
696	c4b54d801b0c1978cf2f30ee1f73588cfad6e6e3f7dd49a7c5a954fc0253a702	0116	공사회의	공사일반사항및공사비 > 공사일반사항 > 공사회의	공사일반사항및공사비	01	공사일반사항	011	CLASSIFICATION	REJECT	NOT_ASSESSED	8	공사개요 | 공사계획 | 서류및샘플제출 | 검측 기성 | 품질관리 | 공사관리 | 시운전 | 준공및하자보수	1	0111:공사개요:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사일반사항 > 공사회의	0		NONE	PENDING	PENDING	EMPTY	EMPTY
697	9ff873b9d84d1a6980eacb7320ac99da443be9442fa3a07d62fe89288dbd9737	0117	공사관리	공사일반사항및공사비 > 공사일반사항 > 공사관리	공사일반사항및공사비	01	공사일반사항	011	CLASSIFICATION	REJECT	NOT_ASSESSED	8	공사개요 | 공사계획 | 서류및샘플제출 | 검측 기성 | 품질관리 | 공사회의 | 시운전 | 준공및하자보수	1	0111:공사개요:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사일반사항 > 공사관리	0		NONE	PENDING	PENDING	EMPTY	EMPTY
698	05c9f8465c1350ae438b3ccd26a8de646e23d36459af8075c2a47f62ae10a22c	0118	시운전	공사일반사항및공사비 > 공사일반사항 > 시운전	공사일반사항및공사비	01	공사일반사항	011	CLASSIFICATION	REJECT	NOT_ASSESSED	8	공사개요 | 공사계획 | 서류및샘플제출 | 검측 기성 | 품질관리 | 공사회의 | 공사관리 | 준공및하자보수	1	0111:공사개요:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사일반사항 > 시운전	0		NONE	PENDING	PENDING	EMPTY	EMPTY
699	6b31e36e31fe2cae834fd0fae21f0d8320d26d5e5fe5981f83c573c1cb4212d6	0119	준공및하자보수	공사일반사항및공사비 > 공사일반사항 > 준공및하자보수	공사일반사항및공사비	01	공사일반사항	011	CLASSIFICATION	REJECT	NOT_ASSESSED	8	공사개요 | 공사계획 | 서류및샘플제출 | 검측 기성 | 품질관리 | 공사회의 | 공사관리 | 시운전	1	0111:공사개요:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사일반사항 > 준공및하자보수	0		NONE	PENDING	PENDING	EMPTY	EMPTY
700	1c5f282c7e89359015a87f8d5b875160ee20c042c9090ef81634746e63da22a9	0152	공통공사비	공사일반사항및공사비 > 공사비 > 공통공사비	공사일반사항및공사비	01	공사비	015	CLASSIFICATION	REJECT	NOT_ASSESSED	8	직접공사비 | 간접인건비 | 경비 | 일반관리비 | 이윤 | 공사손해보험료 | 부가가치세 | 공사금액총계	1	0151:직접공사비:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사비 > 공통공사비	0		NONE	PENDING	PENDING	EMPTY	EMPTY
701	240d54c6a7d0aa88f3942dd578b3a253d2a73b69e489b49d25447213e6b6e27a	0153	간접인건비	공사일반사항및공사비 > 공사비 > 간접인건비	공사일반사항및공사비	01	공사비	015	CLASSIFICATION	REJECT	NOT_ASSESSED	8	직접공사비 | 공통공사비 | 경비 | 일반관리비 | 이윤 | 공사손해보험료 | 부가가치세 | 공사금액총계	1	0151:직접공사비:CLASSIFICATION:REJECT	1	공사일반사항및공사비 > 공사비 > 간접인건비	0		NONE	PENDING	PENDING	EMPTY	EMPTY
