review_no	seed_proposal_key	source_key	name	source_path	root_name	root_source_key	parent_name	parent_source_key	parent_semantic_kind	parent_review_decision	parent_leaf_family_policy	sibling_count	sibling_names	reviewed_sibling_count	reviewed_sibling_refs	same_name_cicw_count	same_name_cicw_paths	same_name_other_source_count	same_name_other_source_refs	lexical_cues	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
892	8a22cdad03f84c2998c32d3ab4e49dcb42ea83720ec015dc17ddbef706667501	1823	철골구조물철거	철거해체공사및시설물보호 > 지상구조물철거 해체 > 철골구조물철거	철거해체공사및시설물보호	18	지상구조물철거 해체	182	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	콘크리트구조물철거 | 포장제거 | 석축및옹벽철거	0		1	철거해체공사및시설물보호 > 지상구조물철거 해체 > 철골구조물철거	0		NONE	PENDING	PENDING	EMPTY	EMPTY
893	ed386158d68d31b63a100751898ac55748fefd36ae24592f8ab9589664f0f37a	1824	포장제거	철거해체공사및시설물보호 > 지상구조물철거 해체 > 포장제거	철거해체공사및시설물보호	18	지상구조물철거 해체	182	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	콘크리트구조물철거 | 철골구조물철거 | 석축및옹벽철거	0		1	철거해체공사및시설물보호 > 지상구조물철거 해체 > 포장제거	0		NONE	PENDING	PENDING	EMPTY	EMPTY
894	b1bac471ee0cf14117d2a778c2d3abdf2647bbcc026d43474d1bd5c468639eec	1825	석축및옹벽철거	철거해체공사및시설물보호 > 지상구조물철거 해체 > 석축및옹벽철거	철거해체공사및시설물보호	18	지상구조물철거 해체	182	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	콘크리트구조물철거 | 철골구조물철거 | 포장제거	0		1	철거해체공사및시설물보호 > 지상구조물철거 해체 > 석축및옹벽철거	0		NONE	PENDING	PENDING	EMPTY	EMPTY
895	3036bc1d5e7fc97264c7c724adaa64346e56cd4e1fa63c9bf9e0092da7cb50dc	1831	해상콘크리트구조물철거 해체	철거해체공사및시설물보호 > 해상구조물철거 해체 > 해상콘크리트구조물철거 해체	철거해체공사및시설물보호	18	해상구조물철거 해체	183	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	해상조적구조물철거 해체 | 해상철골구조물철거해체 | 해상토석제거	0		1	철거해체공사및시설물보호 > 해상구조물철거 해체 > 해상콘크리트구조물철거 해체	0		NONE	PENDING	PENDING	EMPTY	EMPTY
896	37affaffa2ca2e3697ab074c56910382c18a58aa8058c17f5e79c4191952f270	1832	해상조적구조물철거 해체	철거해체공사및시설물보호 > 해상구조물철거 해체 > 해상조적구조물철거 해체	철거해체공사및시설물보호	18	해상구조물철거 해체	183	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	해상콘크리트구조물철거 해체 | 해상철골구조물철거해체 | 해상토석제거	0		1	철거해체공사및시설물보호 > 해상구조물철거 해체 > 해상조적구조물철거 해체	0		NONE	PENDING	PENDING	EMPTY	EMPTY
897	23330fe533e43a38b53d19bcdfd257679c36de85a3b196b55112065818f93ba9	1833	해상철골구조물철거해체	철거해체공사및시설물보호 > 해상구조물철거 해체 > 해상철골구조물철거해체	철거해체공사및시설물보호	18	해상구조물철거 해체	183	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	해상콘크리트구조물철거 해체 | 해상조적구조물철거 해체 | 해상토석제거	0		1	철거해체공사및시설물보호 > 해상구조물철거 해체 > 해상철골구조물철거해체	0		NONE	PENDING	PENDING	EMPTY	EMPTY
898	d17ce95a70e3aa1758a7fdb341b9c4d2a8c46ddfe3cb93fbc3be27b030304a16	1834	해상토석제거	철거해체공사및시설물보호 > 해상구조물철거 해체 > 해상토석제거	철거해체공사및시설물보호	18	해상구조물철거 해체	183	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	해상콘크리트구조물철거 해체 | 해상조적구조물철거 해체 | 해상철골구조물철거해체	0		1	철거해체공사및시설물보호 > 해상구조물철거 해체 > 해상토석제거	0		NONE	PENDING	PENDING	EMPTY	EMPTY
899	9bce078747fbb1ff90aefae1f870e035499fdbe1baf20e0cfd85c3f5470f4889	1841	콘크리트관제거	철거해체공사및시설물보호 > 지하지장물철거 해체 > 콘크리트관제거	철거해체공사및시설물보호	18	지하지장물철거 해체	184	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	6	주철관제거 | 강관제거 | PVC관제거 | 통신케이블제거 | 전선관로제거 | 기타지하지장물제거	1	1844:PVC관제거:AMBIGUOUS:HOLD	1	철거해체공사및시설물보호 > 지하지장물철거 해체 > 콘크리트관제거	0		NONE	PENDING	PENDING	EMPTY	EMPTY
900	61036c20c3179073e779ca296e01a69f14960dc5b662ad9f8e22efad1205f811	1842	주철관제거	철거해체공사및시설물보호 > 지하지장물철거 해체 > 주철관제거	철거해체공사및시설물보호	18	지하지장물철거 해체	184	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	6	콘크리트관제거 | 강관제거 | PVC관제거 | 통신케이블제거 | 전선관로제거 | 기타지하지장물제거	1	1844:PVC관제거:AMBIGUOUS:HOLD	1	철거해체공사및시설물보호 > 지하지장물철거 해체 > 주철관제거	0		NONE	PENDING	PENDING	EMPTY	EMPTY
901	e4f7d9ae31f9a7286f7c5b63458c70d7fe70e847d3d2457dccbd17f08edf6f1f	1843	강관제거	철거해체공사및시설물보호 > 지하지장물철거 해체 > 강관제거	철거해체공사및시설물보호	18	지하지장물철거 해체	184	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	6	콘크리트관제거 | 주철관제거 | PVC관제거 | 통신케이블제거 | 전선관로제거 | 기타지하지장물제거	1	1844:PVC관제거:AMBIGUOUS:HOLD	1	철거해체공사및시설물보호 > 지하지장물철거 해체 > 강관제거	0		NONE	PENDING	PENDING	EMPTY	EMPTY
