review_no	seed_proposal_key	source_id	source_key	name	source_path	root_name	root_source_key	parent_name	parent_source_key	parent_path	parent_semantic_kind	parent_review_decision	parent_leaf_family_policy	sibling_count	sibling_names	same_name_cicw_count	same_name_cicw_paths	same_name_other_source_count	same_name_other_source_refs	reviewed_sibling_count	reviewed_sibling_refs	lexical_cues	current_semantic_kind	current_review_decision	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
1092	d9789a4302f129073a3ee4db9e48aac09a768fa511ea337714671cacbbc1cfcd	CIC_W	3143	관부사	토목배관공사및배수공사 > 토목배관부대공사 > 관부사	토목배관공사및배수공사	31	토목배관부대공사	314	토목배관공사및배수공사 > 토목배관부대공사	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	6	배관보온 보호공사 | 구조물배관접합 | 검사관설치 | 스핀들 | 경사판설치 | 기타토목배관부대공사	1	토목배관공사및배수공사 > 토목배관부대공사 > 관부사	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1093	80a213196084e4204d18c157f65b8e83c9b4e26023601e348a699a5d514e81cb	CIC_W	3144	검사관설치	토목배관공사및배수공사 > 토목배관부대공사 > 검사관설치	토목배관공사및배수공사	31	토목배관부대공사	314	토목배관공사및배수공사 > 토목배관부대공사	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	6	배관보온 보호공사 | 구조물배관접합 | 관부사 | 스핀들 | 경사판설치 | 기타토목배관부대공사	1	토목배관공사및배수공사 > 토목배관부대공사 > 검사관설치	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1094	725790d67a0a2a62a23b2692554facf9035200d5a039742a0b3cfd996f8ca01a	CIC_W	3145	스핀들	토목배관공사및배수공사 > 토목배관부대공사 > 스핀들	토목배관공사및배수공사	31	토목배관부대공사	314	토목배관공사및배수공사 > 토목배관부대공사	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	6	배관보온 보호공사 | 구조물배관접합 | 관부사 | 검사관설치 | 경사판설치 | 기타토목배관부대공사	1	토목배관공사및배수공사 > 토목배관부대공사 > 스핀들	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1095	dd9a393c7bbb0fb673e177ca483f926649c30bd00d4291df3ec9b4b063ce4583	CIC_W	3146	경사판설치	토목배관공사및배수공사 > 토목배관부대공사 > 경사판설치	토목배관공사및배수공사	31	토목배관부대공사	314	토목배관공사및배수공사 > 토목배관부대공사	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	6	배관보온 보호공사 | 구조물배관접합 | 관부사 | 검사관설치 | 스핀들 | 기타토목배관부대공사	1	토목배관공사및배수공사 > 토목배관부대공사 > 경사판설치	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1096	ad1f5fcc98fdd185ff16f002276aeded6acea23cd6644f2dc75445e1f05a980d	CIC_W	3149	기타토목배관부대공사	토목배관공사및배수공사 > 토목배관부대공사 > 기타토목배관부대공사	토목배관공사및배수공사	31	토목배관부대공사	314	토목배관공사및배수공사 > 토목배관부대공사	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	6	배관보온 보호공사 | 구조물배관접합 | 관부사 | 검사관설치 | 스핀들 | 경사판설치	1	토목배관공사및배수공사 > 토목배관부대공사 > 기타토목배관부대공사	0		0		ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1097	a1460a115560ca2c358a64ac2368c3de3b4101a46b97b8ad741fe9373f1f49e1	CIC_W	3151	맨홀	토목배관공사및배수공사 > 토목배관부속설비 > 맨홀	토목배관공사및배수공사	31	토목배관부속설비	315	토목배관공사및배수공사 > 토목배관부속설비	FACILITY_EQUIPMENT	REJECT	NOT_ASSESSED	7	변실 | 측구 | 맹암거 | 표면배수시설 | 수격방지시설 | 여과설비설치 | 토목배관표식	1	토목배관공사및배수공사 > 토목배관부속설비 > 맨홀	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1098	45b37c04fd2ca1c63266cb142421d79a4586ce357146f0745d4dbda9c03ab1df	CIC_W	3152	변실	토목배관공사및배수공사 > 토목배관부속설비 > 변실	토목배관공사및배수공사	31	토목배관부속설비	315	토목배관공사및배수공사 > 토목배관부속설비	FACILITY_EQUIPMENT	REJECT	NOT_ASSESSED	7	맨홀 | 측구 | 맹암거 | 표면배수시설 | 수격방지시설 | 여과설비설치 | 토목배관표식	1	토목배관공사및배수공사 > 토목배관부속설비 > 변실	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1099	e65475e1d179c2ef9841eb7a048bce91439a8a4056c98e5a224c11fe2b5ae149	CIC_W	3153	측구	토목배관공사및배수공사 > 토목배관부속설비 > 측구	토목배관공사및배수공사	31	토목배관부속설비	315	토목배관공사및배수공사 > 토목배관부속설비	FACILITY_EQUIPMENT	REJECT	NOT_ASSESSED	7	맨홀 | 변실 | 맹암거 | 표면배수시설 | 수격방지시설 | 여과설비설치 | 토목배관표식	1	토목배관공사및배수공사 > 토목배관부속설비 > 측구	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1100	402debf8627e0cb5427da320e50205757640ec25ae1462f516d05ad1f50f6b5d	CIC_W	3154	맹암거	토목배관공사및배수공사 > 토목배관부속설비 > 맹암거	토목배관공사및배수공사	31	토목배관부속설비	315	토목배관공사및배수공사 > 토목배관부속설비	FACILITY_EQUIPMENT	REJECT	NOT_ASSESSED	7	맨홀 | 변실 | 측구 | 표면배수시설 | 수격방지시설 | 여과설비설치 | 토목배관표식	1	토목배관공사및배수공사 > 토목배관부속설비 > 맹암거	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1101	dc7bd90d99efbc59cbb863199acde90729a141177f85639977e8ef6315211cac	CIC_W	3155	표면배수시설	토목배관공사및배수공사 > 토목배관부속설비 > 표면배수시설	토목배관공사및배수공사	31	토목배관부속설비	315	토목배관공사및배수공사 > 토목배관부속설비	FACILITY_EQUIPMENT	REJECT	NOT_ASSESSED	7	맨홀 | 변실 | 측구 | 맹암거 | 수격방지시설 | 여과설비설치 | 토목배관표식	1	토목배관공사및배수공사 > 토목배관부속설비 > 표면배수시설	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
