review_no	seed_proposal_key	source_key	name	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	approval_state
1092	d9789a4302f129073a3ee4db9e48aac09a768fa511ea337714671cacbbc1cfcd	3143	관부사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1093	80a213196084e4204d18c157f65b8e83c9b4e26023601e348a699a5d514e81cb	3144	검사관설치	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1094	725790d67a0a2a62a23b2692554facf9035200d5a039742a0b3cfd996f8ca01a	3145	스핀들	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1095	dd9a393c7bbb0fb673e177ca483f926649c30bd00d4291df3ec9b4b063ce4583	3146	경사판설치	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1096	ad1f5fcc98fdd185ff16f002276aeded6acea23cd6644f2dc75445e1f05a980d	3149	기타토목배관부대공사	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1097	a1460a115560ca2c358a64ac2368c3de3b4101a46b97b8ad741fe9373f1f49e1	3151	맨홀	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1098	45b37c04fd2ca1c63266cb142421d79a4586ce357146f0745d4dbda9c03ab1df	3152	변실	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1099	e65475e1d179c2ef9841eb7a048bce91439a8a4056c98e5a224c11fe2b5ae149	3153	측구	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1100	402debf8627e0cb5427da320e50205757640ec25ae1462f516d05ad1f50f6b5d	3154	맹암거	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1101	dc7bd90d99efbc59cbb863199acde90729a141177f85639977e8ef6315211cac	3155	표면배수시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1102	38756b54e66139a8a51536edd04b37dc292601480cd6f47f26c9b69c8f6138ec	3156	수격방지시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1103	0fffe84b364dcc2d6af1cee83bdc678c03d053a72ce292f99087994fddb00a01	3157	여과설비설치	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1104	e0ec89bd18b9f69d18881e0a2da89831a1159842f28aa255b2162921ec0c2a39	3158	토목배관표식	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1105	36f50407f54a96e6eb9af063f312646affe127f18634ca1049458e91bcb1d35e	3161	상수도배관검사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1106	6feadf753b3cd0045ce91321fa6b0d3277766ae77f511ed0d275e2924d9ac8ab	3162	상수도배관청소	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1107	8fd4d570477fb0bdf5802cdeb109d941235e3232cacdb4d715b0053d4c9dc508	3163	상수도배관내장애물제거	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1108	6577885572a50f97fcaf107c735ad26c2e3384530b0f190ff254f66e54af9ce5	3164	상수도배관보수	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1109	6e2364cb64ad350f918a250902855ce4147fc7831800f044cc2043fc3595c55c	3171	하수도배관검사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1110	20ae6c3e01464dc91a126f52c1201c1080c505b8f706f4d163b9a32b5b78977f	3172	하수도배관청소	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1111	208a494578492169a7e528a1cfda0f108e327351ecb457e46940a71e21fbceb2	3173	하수도배관내장애물제거	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1112	17b668b77f2f92bd5b4179dfc5441f134164fa6a5690830c0e1efdaf79ba7243	3174	배관내부준설	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
