review_no	seed_proposal_key	source_key	name	source_path	root_name	root_source_key	parent_name	parent_source_key	parent_semantic_kind	parent_review_decision	parent_leaf_family_policy	sibling_count	sibling_names	reviewed_sibling_count	reviewed_sibling_refs	same_name_cicw_count	same_name_cicw_paths	same_name_other_source_count	same_name_other_source_refs	lexical_cues	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
1292	e8249c58ee71ea73b0efd5b8c5411893c49132bcd71d64aceb91a645a9c47232	4281	프레스	목공사 > 목재처리 > 프레스	목공사	42	목재처리	428	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	방부처리 | 방충처리 | 내화처리 | 내신축처리	0		1	목공사 > 목재처리 > 프레스	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1293	1bdfa15a93d2cb4d7c6e76868ecc67a6ac11d9ce73eadd785cf3c83439e7387c	4282	방부처리	목공사 > 목재처리 > 방부처리	목공사	42	목재처리	428	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	프레스 | 방충처리 | 내화처리 | 내신축처리	0		1	목공사 > 목재처리 > 방부처리	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1294	b1afa416cf8e4a03075cd391a7b9f5ec6fb0fadc12b3677d4bbd9bc601eebd35	4283	방충처리	목공사 > 목재처리 > 방충처리	목공사	42	목재처리	428	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	프레스 | 방부처리 | 내화처리 | 내신축처리	0		1	목공사 > 목재처리 > 방충처리	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1295	0ff5f9db985f9a89298139efc6e722464900aa347d3309964f480aac3d072a2a	4284	내화처리	목공사 > 목재처리 > 내화처리	목공사	42	목재처리	428	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	프레스 | 방부처리 | 방충처리 | 내신축처리	0		1	목공사 > 목재처리 > 내화처리	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1296	68ead68b55fa28a12bf9126d046477614120b2e641be1bfcc712af8b39f7a7b2	4285	내신축처리	목공사 > 목재처리 > 내신축처리	목공사	42	목재처리	428	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	프레스 | 방부처리 | 방충처리 | 내화처리	0		1	목공사 > 목재처리 > 내신축처리	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1297	cca19c876cf0be8334cc1c67a9823ff6165f175dd5b93ec7d55ef5771260cca6	4312	너와지붕잇기	지붕및홈통공사 > 자연형지붕잇기 > 너와지붕잇기	지붕및홈통공사	43	자연형지붕잇기	431	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	초가지붕잇기 | 잔디지붕 | 수목지붕	1	4311:초가지붕잇기:TASK:KEEP_AS_DISTINCT	1	지붕및홈통공사 > 자연형지붕잇기 > 너와지붕잇기	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1298	3433d91ca328c259854c716a20309a1f75e12c6f428b2d41ad47b0e53a46423f	4313	잔디지붕	지붕및홈통공사 > 자연형지붕잇기 > 잔디지붕	지붕및홈통공사	43	자연형지붕잇기	431	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	초가지붕잇기 | 너와지붕잇기 | 수목지붕	1	4311:초가지붕잇기:TASK:KEEP_AS_DISTINCT	1	지붕및홈통공사 > 자연형지붕잇기 > 잔디지붕	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1299	005630482e19f7a9be2601010e96dc23f38142f7c5979c8d1cd061bc9fd402fb	4314	수목지붕	지붕및홈통공사 > 자연형지붕잇기 > 수목지붕	지붕및홈통공사	43	자연형지붕잇기	431	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	초가지붕잇기 | 너와지붕잇기 | 잔디지붕	1	4311:초가지붕잇기:TASK:KEEP_AS_DISTINCT	1	지붕및홈통공사 > 자연형지붕잇기 > 수목지붕	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1300	4dcef32e83a9ee18b42d1043ae74c73aaa9011422f5786c1fa4fb5dea77a1567	4321	시멘트기와잇기	지붕및홈통공사 > 기와잇기 > 시멘트기와잇기	지붕및홈통공사	43	기와잇기	432	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	8	점토질기와잇기 | 자기질기와잇기 | 슬레이트기와잇기 | 아스팔트슁글잇기 | 금속기와잇기 | 목재기와잇기 | 플라스틱기와잇기 | 부속기와	0		1	지붕및홈통공사 > 기와잇기 > 시멘트기와잇기	0		NONE	PENDING	PENDING	EMPTY	EMPTY
1301	50c5fa9f65baad28c8c23119e78f7615cf232b097283394635addeef5010ed74	4322	점토질기와잇기	지붕및홈통공사 > 기와잇기 > 점토질기와잇기	지붕및홈통공사	43	기와잇기	432	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	8	시멘트기와잇기 | 자기질기와잇기 | 슬레이트기와잇기 | 아스팔트슁글잇기 | 금속기와잇기 | 목재기와잇기 | 플라스틱기와잇기 | 부속기와	0		1	지붕및홈통공사 > 기와잇기 > 점토질기와잇기	0		NONE	PENDING	PENDING	EMPTY	EMPTY
