review_no	seed_proposal_key	source_key	name	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	approval_state
1292	e8249c58ee71ea73b0efd5b8c5411893c49132bcd71d64aceb91a645a9c47232	4281	프레스	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1293	1bdfa15a93d2cb4d7c6e76868ecc67a6ac11d9ce73eadd785cf3c83439e7387c	4282	방부처리	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1294	b1afa416cf8e4a03075cd391a7b9f5ec6fb0fadc12b3677d4bbd9bc601eebd35	4283	방충처리	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1295	0ff5f9db985f9a89298139efc6e722464900aa347d3309964f480aac3d072a2a	4284	내화처리	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1296	68ead68b55fa28a12bf9126d046477614120b2e641be1bfcc712af8b39f7a7b2	4285	내신축처리	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1297	cca19c876cf0be8334cc1c67a9823ff6165f175dd5b93ec7d55ef5771260cca6	4312	너와지붕잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1298	3433d91ca328c259854c716a20309a1f75e12c6f428b2d41ad47b0e53a46423f	4313	잔디지붕	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1299	005630482e19f7a9be2601010e96dc23f38142f7c5979c8d1cd061bc9fd402fb	4314	수목지붕	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
1300	4dcef32e83a9ee18b42d1043ae74c73aaa9011422f5786c1fa4fb5dea77a1567	4321	시멘트기와잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1301	50c5fa9f65baad28c8c23119e78f7615cf232b097283394635addeef5010ed74	4322	점토질기와잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1302	19ab4bbfd71916dd1ad9d772e181a44ccbf079bb84acef4d020cba854b050385	4323	자기질기와잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1303	a03418852b021301a6af711c2de7fcc65fd504d5c7588c0dac29999a4583b978	4324	슬레이트기와잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1304	502ee391bc5f31ac102bda97fd8f7b6ee785a22e1c81598908c799c2664e1c80	4325	아스팔트슁글잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1305	93a032716eef22228c6d19e554d442e7b75c74aacd4af439ae8af94fe1a727bb	4326	금속기와잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1306	8660fef7c8ea0a5a9bb86775cb0e0da6e19795c15c706b1710b096b1227c6ea9	4327	목재기와잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1307	f4531ec392cdd78022ff7cd5cd11ed8206eda492a44aa02f1bc29bdce41cf6c4	4328	플라스틱기와잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1308	968e8996e1e2a8960bc2888afe49098382a3dc9b476fdeae38c49819ee05c376	4329	부속기와	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1309	13d79cc19232695a098a90a67c9f73ed0a46c5ce0eff6bf061ba818d4247f1dd	4331	판슬레이트	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1310	a21eb5b05b3ac5f97b8e6fc73e3931a00fbb3e34307e5be465e408bc7403ff85	4332	골슬레이트	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1311	243535030409a5026dacd3c42b3771d16c55f8012e88a5172b29f3ee1afb689b	4341	함석잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1312	c8da10ea225a87fd73f68b219d1f0ae66aa7481745641c94a8f26febc5509d03	4342	동판잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1313	07072183762f39a194631f474e26ac6ffdaeb683b84602c40e67fd26915dc062	4343	스틸테크잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1314	9c22603f8b098834a819d3f2347e8ef8ac0d1a573079daaf9b84794f3d16f419	4344	알루니늄판잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1315	1b040f487a7a914d96e4a8fb19cafb8578d90f07cc1e653959154bab95e83d42	4345	스테인레스스틸판잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1316	47b9d7a60ff130f4dcc82b1bff73d91b5682987b91e024a97718647b9cc1c819	4346	법랑피복철판잇기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1317	0bb075e67458e51b022ae6b385e9f96333d7e4732f7560c3ea3c8d85761b3967	4351	변형아스팔트루핑	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1318	19623afa9b97576e9d45e832871d674bf7f27b8b342799453797aea62ce5ed9d	4352	혼성중합체플라스틱시트지붕	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1319	ad9cde13f3d7b65b9c8645f3e9e937ee741d551fbb54351bfca9ccb3c449c7b5	4353	에틸렌중합체시트지붕	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1320	071bcd830f490cf1e30c20defa28281bf4927fc35410b9140afa963bc2204b60	4354	염화폴리비닐시트지붕	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1321	ff8d46eec773bdd14d6068b8b3cc0610e30e62324c40051dd301d256f58a9943	4355	열가소성올레핀시트지붕	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1322	19d0544777c5586d6ef1db49cee7ae4567e6020806e3d4927b9582378a86c1c1	4356	니트릴부타디엔폴리머시트지붕	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1323	d1f4aded0aa4bbbe3853c03c6544ff6eef6d67183fa7cd43ee4d791ee38709a2	4361	메탈지붕판넬	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1324	730e0e352cef5eca5e64a7f12786d0a4f925392a3ed069e58e338d7632f253e2	4362	목재지붕판넬	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
1325	11a70ab8d95edee95b4c869496454b25739fc395d9a0198282c5c4e0b7641dc3	4363	프라스틱지붕판넬	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
