review_no	seed_proposal_key	source_key	name	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	approval_state
1492	72d5282078780d065d623231b03ce76885beced2a4741868f8d637e465a3fd25	5235	인조석외벽붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1493	8d2330bfb4cab62f662984cc5a0be49d38367f6fb0b3fc4c0a2ec9484d989398	5236	테라조외벽붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1494	9df80d41a3459fc644c554420d05b70c37d4c175b01e0760cfab659bfddbf9fa	5241	화강석구조물밑면붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1495	5fed6df63473bae4e913f070715de78ef41d3c72ec76a7783cc779a9231fd697	5242	대리석구조물밑면붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1496	c8e20d4e5419ecb7f4e54016765b66dbcc3349f0d593227668cf14f16b3a1e0e	5243	사암구조물밑면붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1497	1c1b653fd74908a61c38ce8e54052de35d7d8643d9c19688a9e2c6fe5e631899	5244	천연슬래이트구조물밑면붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1498	b2f09103422dc0c68fdce2e869cede2890d6e5c92e2a1286ba6f8a8a333da0c8	5245	인조석구조물밑면붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1499	4493846c4493360c507ea813984a3e8a6f3746512f517784e5a3c846b2238c1e	5246	테라조구조물밑면붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1500	ed39485f903bccfb14587b28a80e1c366ecffc15186189599f0fb62adffaea8d	5251	계단디딤판(트레드)석재붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1501	88e1a0da33adf4caee41b1aa36257015274e056a5131cf094a187051371296da	5252	계단채임판(라이저)석재붙이기	AMBIGUOUS	TASK	MERGE_CANDIDATE	56c69ff9e69d81b5711d9ad23ada3a61a84f35c03391264527ef70137f3b4c64	NOT_APPROVED
1502	d65acaa1010dd098d2fe194bb5c1abd6225b9c41b925c412c9b5f3b7bd5f2606	5253	통석재계단놓기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1503	53020c495ee569a7bc98301e5efeebcbe889c11be25473703b3d85611a159327	5261	두겁돌붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1504	8438d37557880fef0ee8c3cc6aada2007b77cf5b01757f1d6a1681924a6fa708	5262	창대석붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1505	f1049909b109208c4072085fcc9abb4962bacbcd34646843eb0b5a8c22dc3ea6	5263	도어씰붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1506	040079cb31dfe4e2a98b2f2b0f1edfbde965dd93d76546c5e511077dca9d6ed9	5264	경계석(마감석)붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1507	0247b63bb4c41423ac78fdbebc1ec29eec64307040d314831a8810710aecb05e	5281	석재물갈기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1508	f532b6a2871f7fe27cc8441a3420a11d9dd20d727ca6346fd80baa1e36227e09	5282	석재거친다듬마감 - - 대․중․소 분류대․중․소 분류	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1509	d3a297eaf71c6f29f085e59161748d5ef02902035c11122c88fd9645eaa7121b	5283	석재잔다듬마감	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1510	ad2b215b130aa0b0bbc0ea96099938d4ebfb604a0f703e9643c7b01bc198168d	5284	석재젯트버너마감	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1511	fc0eb1087f333c967e302b6f64929fdb7d9d14b83cddb3cf57be588cae1bf34c	5285	석재골파기마감	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1512	5c922943b3bfdf12cb5d2de5c57fde0485c129dfc538f7d24fb0d3ff2ee7c337	5312	점토질타일바닥붙이기	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
