review_no	seed_proposal_key	source_key	name	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	approval_state
1692	ade0aed9204ab87a407f5444e7b894fcab2da8963daf2f10917b8afec0b07db7	6153	밸브박스 슬리브 조립식PD공사	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1693	9690be5340c084e5a47dd250afdf323a0d7a8ce5bfab1267f1bc68e6d29c4078	6154	각종잡철물공사및용접공사	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1694	a77ac9122abeaec7a2be71b280a9d97cf28c72f76ffec3e4f7646f05ef09d0b8	6155	강재제작설치 조립공사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1695	0dc66800f072e49cf6fe4fe966680fae74f3c391db84832c2f2d47bf9ac72614	6156	관갱생공사	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1696	0096aeec01d504893402f499a05e13b76e855ad3a8bfd86079932aed5dcf5733	6157	도장및방청공사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1697	f1765abf1fb70aa691c82d9629c27e04d800fb44360bbf020406bf923e70e642	6158	터파기및되메우기공사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1698	2a94d07331d66fe5af8f5e41b7997fc72ff6a98d3ea702eb9d0a83b7b0a9f337	6159	기타설비․시설관련공사	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
1699	c4de6be9ed4d28f9f2e38f32c3873bc2a40ba18be772935cf54fd306e03f4d45	6212	플랜트보일러및부속공사	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1700	5334dcca838780c06efcef3944be27bea54fdff87f02af7ea43a5493e1c303d4	6221	냉동기및부속설비설치공사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1701	93201f6f8ef101466847ef360e4468ceb7dc44b0e2ad7e70d475c4493465c494	6222	냉각탑설치공사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1702	c9b2920f86ef818e719bae0b09ec6e74de56a70b3c9b23602380981fa4b7de61	6231	공조기및팬공사	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1703	f5a755a6775f6ac4958ffb49a6bc9a8d01d7d89568eeff2cece9872fdf844eeb	6232	온수분배기 방열기설치공사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
1704	4cef4d75cc98de3f673a74c9d996fa7801c685841523cd9a47db3a2138cf8e87	6233	컨벡터설치공사	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
