batch_no	seed_proposal_key	source_id	source_key	source_node_type	name	source_path	root_name	root_source_key	depth	current_semantic_kind	current_review_decision	root_semantic_kind	root_review_decision	root_review_batch_no	direct_child_count	direct_child_keys	direct_child_names	children_truncated	reviewed_child_count	reviewed_child_process	reviewed_child_task	reviewed_child_method	reviewed_child_material_component	reviewed_child_facility_equipment	reviewed_child_classification	reviewed_child_ambiguous	unreviewed_child_count	reviewed_child_keep	reviewed_child_merge_candidate	reviewed_child_hold	reviewed_child_reject	reviewed_child_refs	unreviewed_child_refs	reviewed_child_mechanical_state	gpt_leaf_family_policy	same_name_mid_count	same_name_mid_paths	same_name_other_source_count	same_name_other_source_refs	sibling_mid_count	sample_sibling_mids	reviewed_sibling_count	reviewed_sibling_refs	lexical_cues	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
401	ff9824b6e41b26da11b586144b505613ffca8363bc0755d44a2968b9828f214d	CIC_W	024	W_MID	가설편의시설및부대시설	가설건물 시설물(간접가설공사) > 가설편의시설및부대시설	가설건물 시설물(간접가설공사)	02	2	AMBIGUOUS	UNREVIEWED	CLASSIFICATION	REJECT	202	4	0241 | 0242 | 0243 | 0244	가설식당 | 가설복지시설 | 가설주차장시설 | 가설경비실	NO	0	0	0	0	0	0	0	0	4	0	0	0	0		0241:가설식당 | 0242:가설복지시설 | 0243:가설주차장시설 | 0244:가설경비실	NO_REVIEWED_CHILDREN	PENDING	1	가설건물 시설물(간접가설공사) > 가설편의시설및부대시설	0		7	가설부지 | 발주자용가설건물 시설 | 도급자용가설건물 | 업무용운송시설 | 가설울타리및현장출입문 | 가설안내시설및표지판 | 가설설비	4	021:가설부지:CLASSIFICATION:REJECT | 022:발주자용가설건물 시설:FACILITY_EQUIPMENT:REJECT | 023:도급자용가설건물:FACILITY_EQUIPMENT:REJECT | 028:가설설비:FACILITY_EQUIPMENT:REJECT	NONE	PENDING	PENDING	EMPTY	EMPTY
402	1c3bb307cae93cbf15913ad1de463ba738c3a0e626efcf33ac51738f79dba326	CIC_W	025	W_MID	업무용운송시설	가설건물 시설물(간접가설공사) > 업무용운송시설	가설건물 시설물(간접가설공사)	02	2	AMBIGUOUS	UNREVIEWED	CLASSIFICATION	REJECT	202	4	0251 | 0252 | 0253 | 0254	발주자업무용선박 | 발주자업무용차량 | 도급자업무용선박 | 도급자업무용차량	NO	0	0	0	0	0	0	0	0	4	0	0	0	0		0251:발주자업무용선박 | 0252:발주자업무용차량 | 0253:도급자업무용선박 | 0254:도급자업무용차량	NO_REVIEWED_CHILDREN	PENDING	1	가설건물 시설물(간접가설공사) > 업무용운송시설	0		7	가설부지 | 발주자용가설건물 시설 | 도급자용가설건물 | 가설편의시설및부대시설 | 가설울타리및현장출입문 | 가설안내시설및표지판 | 가설설비	4	021:가설부지:CLASSIFICATION:REJECT | 022:발주자용가설건물 시설:FACILITY_EQUIPMENT:REJECT | 023:도급자용가설건물:FACILITY_EQUIPMENT:REJECT | 028:가설설비:FACILITY_EQUIPMENT:REJECT	NONE	PENDING	PENDING	EMPTY	EMPTY
403	f3c15349fcae137915dd0a4ef583c8820c07c05a831b78176030fbd6f05c0561	CIC_W	026	W_MID	가설울타리및현장출입문	가설건물 시설물(간접가설공사) > 가설울타리및현장출입문	가설건물 시설물(간접가설공사)	02	2	AMBIGUOUS	UNREVIEWED	CLASSIFICATION	REJECT	202	5	0261 | 0262 | 0263 | 0264 | 0265	목재울타리 | 철재울타리 | 철망울타리 | 조립식울타리 | 현장출입문	NO	0	0	0	0	0	0	0	0	5	0	0	0	0		0261:목재울타리 | 0262:철재울타리 | 0263:철망울타리 | 0264:조립식울타리 | 0265:현장출입문	NO_REVIEWED_CHILDREN	PENDING	1	가설건물 시설물(간접가설공사) > 가설울타리및현장출입문	0		7	가설부지 | 발주자용가설건물 시설 | 도급자용가설건물 | 가설편의시설및부대시설 | 업무용운송시설 | 가설안내시설및표지판 | 가설설비	4	021:가설부지:CLASSIFICATION:REJECT | 022:발주자용가설건물 시설:FACILITY_EQUIPMENT:REJECT | 023:도급자용가설건물:FACILITY_EQUIPMENT:REJECT | 028:가설설비:FACILITY_EQUIPMENT:REJECT	NONE	PENDING	PENDING	EMPTY	EMPTY
404	a815bdf41ff28fe4298cc171cad5854027bebd49424dd8696ce9c26a973664b0	CIC_W	027	W_MID	가설안내시설및표지판	가설건물 시설물(간접가설공사) > 가설안내시설및표지판	가설건물 시설물(간접가설공사)	02	2	AMBIGUOUS	UNREVIEWED	CLASSIFICATION	REJECT	202	2	0271 | 0272	가설안내판 현황판 | 프로젝트조감도 모형	NO	0	0	0	0	0	0	0	0	2	0	0	0	0		0271:가설안내판 현황판 | 0272:프로젝트조감도 모형	NO_REVIEWED_CHILDREN	PENDING	1	가설건물 시설물(간접가설공사) > 가설안내시설및표지판	0		7	가설부지 | 발주자용가설건물 시설 | 도급자용가설건물 | 가설편의시설및부대시설 | 업무용운송시설 | 가설울타리및현장출입문 | 가설설비	4	021:가설부지:CLASSIFICATION:REJECT | 022:발주자용가설건물 시설:FACILITY_EQUIPMENT:REJECT | 023:도급자용가설건물:FACILITY_EQUIPMENT:REJECT | 028:가설설비:FACILITY_EQUIPMENT:REJECT	NONE	PENDING	PENDING	EMPTY	EMPTY
405	2e0082852a2db8ea53408291290ddf422f15c6c34de356aa84e71a469fdad94e	CIC_W	031	W_MID	공사용가설도로	본공사성가설공사 > 공사용가설도로	본공사성가설공사	03	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	203	2	0311 | 0312	공사용가설도로 | 가설주차장	NO	1	0	0	0	0	1	0	0	1	0	0	0	1	0311:공사용가설도로:FACILITY_EQUIPMENT:REJECT	0312:가설주차장	PARTIAL_REVIEW_SINGLE_KIND	PENDING	1	본공사성가설공사 > 공사용가설도로	0		6	가설작업보조시설 | 가설흙막이및지보공사 | 터널가설 | 교량가설 | 가물막이 | 가체절	2	032:가설작업보조시설:FACILITY_EQUIPMENT:REJECT | 037:가물막이:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
406	1faf794d96412b87fde99ab64caf8c154744e198967d20c0f1c58ddb0d9513aa	CIC_W	033	W_MID	가설흙막이및지보공사	본공사성가설공사 > 가설흙막이및지보공사	본공사성가설공사	03	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	203	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	본공사성가설공사 > 가설흙막이및지보공사	0		6	공사용가설도로 | 가설작업보조시설 | 터널가설 | 교량가설 | 가물막이 | 가체절	2	032:가설작업보조시설:FACILITY_EQUIPMENT:REJECT | 037:가물막이:PROCESS:KEEP_AS_DISTINCT	ENDS_WITH_공사	PENDING	PENDING	EMPTY	EMPTY
407	2a3b1c18afecac6d11341f5c3e392afb441bcc9e41339930c06b45732fd68a8d	CIC_W	034	W_MID	터널가설	본공사성가설공사 > 터널가설	본공사성가설공사	03	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	203	2	0341 | 0342	작업대차및비계 | 작업레일	NO	0	0	0	0	0	0	0	0	2	0	0	0	0		0341:작업대차및비계 | 0342:작업레일	NO_REVIEWED_CHILDREN	PENDING	1	본공사성가설공사 > 터널가설	0		6	공사용가설도로 | 가설작업보조시설 | 가설흙막이및지보공사 | 교량가설 | 가물막이 | 가체절	2	032:가설작업보조시설:FACILITY_EQUIPMENT:REJECT | 037:가물막이:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
408	1cc1a8b85cbddf700ba4dfdd0b8f23a7c13078dab2583b7b4d3d1329525a3817	CIC_W	035	W_MID	교량가설	본공사성가설공사 > 교량가설	본공사성가설공사	03	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	203	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	본공사성가설공사 > 교량가설	0		6	공사용가설도로 | 가설작업보조시설 | 가설흙막이및지보공사 | 터널가설 | 가물막이 | 가체절	2	032:가설작업보조시설:FACILITY_EQUIPMENT:REJECT | 037:가물막이:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
409	da24560ea603b933412864f4de6f9964df311bc9b5436095be4860d483cdfd4c	CIC_W	038	W_MID	가체절	본공사성가설공사 > 가체절	본공사성가설공사	03	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	203	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	본공사성가설공사 > 가체절	0		6	공사용가설도로 | 가설작업보조시설 | 가설흙막이및지보공사 | 터널가설 | 교량가설 | 가물막이	2	032:가설작업보조시설:FACILITY_EQUIPMENT:REJECT | 037:가물막이:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
410	ed24e98c7e863a042eefd22723c80c299bacb4544c1c38e6f509bc1c7ee2a835	CIC_W	052	W_MID	기존도로유지보수	현장유지관리 > 기존도로유지보수	현장유지관리	05	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	204	1	0521	기존도로유지보수	NO	1	0	1	0	0	0	0	0	0	0	1	0	0	0521:기존도로유지보수:TASK:MERGE_CANDIDATE		ALL_REVIEWED_SINGLE_KIND	PENDING	1	현장유지관리 > 기존도로유지보수	0		2	가설공해방지 | 준공및현장정리	2	051:가설공해방지:PROCESS:KEEP_AS_DISTINCT | 058:준공및현장정리:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
411	081867ef518cac5ab8d9318cafc4ad2f096ba19d213d854765601e26faf0dc5d	CIC_W	061	W_MID	장비운반	공통장비 > 장비운반	공통장비	06	2	AMBIGUOUS	UNREVIEWED	FACILITY_EQUIPMENT	REJECT	205	3	0611 | 0612 | 0613	수송비 | 회항비 | 대피비	NO	1	0	0	0	0	0	1	0	2	0	0	0	1	0611:수송비:CLASSIFICATION:REJECT	0612:회항비 | 0613:대피비	PARTIAL_REVIEW_SINGLE_KIND	PENDING	1	공통장비 > 장비운반	0		5	인양장비 | 운반장비 | 토공장비 | 다짐장비 | 가설플랜트	0		NONE	PENDING	PENDING	EMPTY	EMPTY
412	7963b7563731a32fb8bab2a82865269d01f8570d70605bc43a54ed1d8d139cc4	CIC_W	062	W_MID	인양장비	공통장비 > 인양장비	공통장비	06	2	AMBIGUOUS	UNREVIEWED	FACILITY_EQUIPMENT	REJECT	205	4	0621 | 0622 | 0623 | 0624	타워크레인 | 크레인 | 리프트 | 윈치	NO	1	0	0	0	0	1	0	0	3	0	0	0	1	0621:타워크레인:FACILITY_EQUIPMENT:REJECT	0622:크레인 | 0623:리프트 | 0624:윈치	PARTIAL_REVIEW_SINGLE_KIND	PENDING	1	공통장비 > 인양장비	0		5	장비운반 | 운반장비 | 토공장비 | 다짐장비 | 가설플랜트	0		NONE	PENDING	PENDING	EMPTY	EMPTY
413	dd2d2630af20a9752b6dea540f275cf0669f16129c1a4ce37f34273b65c5d42e	CIC_W	063	W_MID	운반장비	공통장비 > 운반장비	공통장비	06	2	AMBIGUOUS	UNREVIEWED	FACILITY_EQUIPMENT	REJECT	205	5	0631 | 0632 | 0633 | 0634 | 0635	콘크리트운반장비 | 콘크리트믹서트럭 | 덤프트럭 | 콘크리트타워 | 벨트컨베이어	NO	0	0	0	0	0	0	0	0	5	0	0	0	0		0631:콘크리트운반장비 | 0632:콘크리트믹서트럭 | 0633:덤프트럭 | 0634:콘크리트타워 | 0635:벨트컨베이어	NO_REVIEWED_CHILDREN	PENDING	1	공통장비 > 운반장비	0		5	장비운반 | 인양장비 | 토공장비 | 다짐장비 | 가설플랜트	0		NONE	PENDING	PENDING	EMPTY	EMPTY
414	6ce4694eec354ac6b29fea9739ac7e4e6974fc89616a2782a6cdb224e48ec1f0	CIC_W	064	W_MID	토공장비	공통장비 > 토공장비	공통장비	06	2	AMBIGUOUS	UNREVIEWED	FACILITY_EQUIPMENT	REJECT	205	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	공통장비 > 토공장비	0		5	장비운반 | 인양장비 | 운반장비 | 다짐장비 | 가설플랜트	0		NONE	PENDING	PENDING	EMPTY	EMPTY
415	1cd690bfb8905d0e78ba92df29d163d7829be32a0b51c81c9829e1d81f85badb	CIC_W	065	W_MID	다짐장비	공통장비 > 다짐장비	공통장비	06	2	AMBIGUOUS	UNREVIEWED	FACILITY_EQUIPMENT	REJECT	205	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	공통장비 > 다짐장비	0		5	장비운반 | 인양장비 | 운반장비 | 토공장비 | 가설플랜트	0		NONE	PENDING	PENDING	EMPTY	EMPTY
416	10c3bbe0e3db5bdb6a185ea757c245c61be2cbd749355bc6a4a5c906eb7393c1	CIC_W	066	W_MID	가설플랜트	공통장비 > 가설플랜트	공통장비	06	2	AMBIGUOUS	UNREVIEWED	FACILITY_EQUIPMENT	REJECT	205	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	공통장비 > 가설플랜트	0		5	장비운반 | 인양장비 | 운반장비 | 토공장비 | 다짐장비	0		NONE	PENDING	PENDING	EMPTY	EMPTY
417	68a6a13a045916245ef12e509acca38e94c0967d340181cbbfc4610b5e30ab16	CIC_W	071	W_MID	공통품질시험	품질시험 > 공통품질시험	품질시험	07	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	206	4	0711 | 0712 | 0713 | 0714	토공사및지반개량 | 기초공사 | 콘크리트공사 | 철강구조물공사	NO	1	0	0	0	0	0	1	0	3	0	0	0	1	0711:토공사및지반개량:CLASSIFICATION:REJECT	0712:기초공사 | 0713:콘크리트공사 | 0714:철강구조물공사	PARTIAL_REVIEW_SINGLE_KIND	PENDING	1	품질시험 > 공통품질시험	0		6	토목품질시험 | 건축품질시험 | 기계품질시험 | 전기품질시험 | 통신품질시험 | 기타품질시험	1	072:토목품질시험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
418	f22338c2fa2f7baddde670cf1456d4e9c9ce671e9b581c77d50f04b2efeaf4e7	CIC_W	073	W_MID	건축품질시험	품질시험 > 건축품질시험	품질시험	07	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	206	3	0731 | 0732 | 0733	조적및목구조공사 | 방수 단열 지붕공사 | 마감공사	NO	0	0	0	0	0	0	0	0	3	0	0	0	0		0731:조적및목구조공사 | 0732:방수 단열 지붕공사 | 0733:마감공사	NO_REVIEWED_CHILDREN	PENDING	1	품질시험 > 건축품질시험	0		6	공통품질시험 | 토목품질시험 | 기계품질시험 | 전기품질시험 | 통신품질시험 | 기타품질시험	1	072:토목품질시험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
419	c4d2e53292f7f2dce0706eaac891e670de489055530f5dd638d1ed29cb748c82	CIC_W	074	W_MID	기계품질시험	품질시험 > 기계품질시험	품질시험	07	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	206	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	품질시험 > 기계품질시험	0		6	공통품질시험 | 토목품질시험 | 건축품질시험 | 전기품질시험 | 통신품질시험 | 기타품질시험	1	072:토목품질시험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
420	58895943352c99121b8df0e9f379a57cdd394a89d862427afbc6a4074153512c	CIC_W	075	W_MID	전기품질시험	품질시험 > 전기품질시험	품질시험	07	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	206	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	품질시험 > 전기품질시험	0		6	공통품질시험 | 토목품질시험 | 건축품질시험 | 기계품질시험 | 통신품질시험 | 기타품질시험	1	072:토목품질시험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
421	c05dbc4276af0b3ca171e2d997a9c6556ab598889996361e4e20771454cc2f03	CIC_W	076	W_MID	통신품질시험	품질시험 > 통신품질시험	품질시험	07	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	206	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	품질시험 > 통신품질시험	0		6	공통품질시험 | 토목품질시험 | 건축품질시험 | 기계품질시험 | 전기품질시험 | 기타품질시험	1	072:토목품질시험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
422	e87b2defcb88d58ceb33fa327979423a673675ed305da408d9c5f3db5db049ea	CIC_W	079	W_MID	기타품질시험	품질시험 > 기타품질시험	품질시험	07	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	206	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	품질시험 > 기타품질시험	0		6	공통품질시험 | 토목품질시험 | 건축품질시험 | 기계품질시험 | 전기품질시험 | 통신품질시험	1	072:토목품질시험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
423	1334e54083a7fdf3929ec117ec6ea2857c20e0f5841608b2ae56964463f22b40	CIC_W	081	W_MID	건축선정시험(토공 기초 구조체)	건축품질시험 > 건축선정시험(토공 기초 구조체)	건축품질시험	08	2	AMBIGUOUS	UNREVIEWED	PROCESS	MERGE_CANDIDATE	207	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	건축품질시험 > 건축선정시험(토공 기초 구조체)	0		5	건축관리시험(토공 기초 구조체) | 건축관리시험(단열 방수 지붕) | 건축관리시험(마감) | 건축기계 전기시험 | 건축공사검사시험	2	085:건축관리시험(토공 기초 구조체):PROCESS:KEEP_AS_DISTINCT | 087:건축관리시험(마감):PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
424	53574fbec4a3d081b29f7bf7be8dfd6256cedd4d479e6c42bf69c8c400ab1cd7	CIC_W	086	W_MID	건축관리시험(단열 방수 지붕)	건축품질시험 > 건축관리시험(단열 방수 지붕)	건축품질시험	08	2	AMBIGUOUS	UNREVIEWED	PROCESS	MERGE_CANDIDATE	207	4	0861 | 0863 | 0865 | 0867	방수및방습 | 단열및방화 | 진동및방음 | 지붕및기와	NO	1	0	0	0	0	0	1	0	3	0	0	0	1	0861:방수및방습:CLASSIFICATION:REJECT	0863:단열및방화 | 0865:진동및방음 | 0867:지붕및기와	PARTIAL_REVIEW_SINGLE_KIND	PENDING	1	건축품질시험 > 건축관리시험(단열 방수 지붕)	0		5	건축선정시험(토공 기초 구조체) | 건축관리시험(토공 기초 구조체) | 건축관리시험(마감) | 건축기계 전기시험 | 건축공사검사시험	2	085:건축관리시험(토공 기초 구조체):PROCESS:KEEP_AS_DISTINCT | 087:건축관리시험(마감):PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
425	b9a104ea29a952a588fa1c116334c584b8ad1f084910a59ffa693f2e92f290e9	CIC_W	088	W_MID	건축기계 전기시험	건축품질시험 > 건축기계 전기시험	건축품질시험	08	2	AMBIGUOUS	UNREVIEWED	PROCESS	MERGE_CANDIDATE	207	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	건축품질시험 > 건축기계 전기시험	0		5	건축선정시험(토공 기초 구조체) | 건축관리시험(토공 기초 구조체) | 건축관리시험(단열 방수 지붕) | 건축관리시험(마감) | 건축공사검사시험	2	085:건축관리시험(토공 기초 구조체):PROCESS:KEEP_AS_DISTINCT | 087:건축관리시험(마감):PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
