case_no	review_concept_key	semantic_kind	source_keys	source_names	source_paths	blocker_type	review_scope	immediate_parent_keys	immediate_parent_names	excluded_parent_reason	source_root_keys	source_root_names	nearest_candidate_ancestor_count	nearest_candidate_ancestor_keys	nearest_candidate_ancestor_names	nearest_candidate_ancestor_distance	evidence_classification	parent_family_id	mechanical_parent_candidate	mechanical_parent_candidate_name	mechanical_rule_status	raw_label_variants	label_variant_analysis	evidence_refs	external_evidence_required	gpt_decision	gpt_parent_candidate	gpt_label_candidate	owner_approval_state
01	96df527ccb239d96a2f604ac5848d689d174bacf9f0b5716d1c76dad7cc4375a	TASK	3716	Riprap재료축조	댐공사 > 휠댐(제방) > Riprap재료축조	PARENT	ACTIVE_GPT_REVIEW	371	휠댐(제방)	REFERENCE_ONLY:ORIGINAL_REJECT	37	댐공사	1	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-371	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
02	5bc3acd70ef94be1828618eb4eee664445fda4b87144a9b0b917ff2c6a19b740	PROCESS	86 | 8631 | 863	기타전기설비공사 | 기타전기설비공사 | 기타전기설비공사	기타전기설비공사 | 기타전기설비공사 > 기타전기설비공사 | 기타전기설비공사 > 기타전기설비공사 > 기타전기설비공사	PARENT	ACTIVE_GPT_REVIEW	86 | 863	기타전기설비공사 | 기타전기설비공사	EMPTY	86	기타전기설비공사	0	EMPTY	EMPTY	EMPTY	NO_CANDIDATE_ANCESTOR	F-86	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
03	5ec54c9e3d66b25af9d10f82992e53383ce691ada40eb88359f08b8700262026	TASK	3711	불투수성재료축조	댐공사 > 휠댐(제방) > 불투수성재료축조	PARENT	ACTIVE_GPT_REVIEW	371	휠댐(제방)	REFERENCE_ONLY:ORIGINAL_REJECT	37	댐공사	1	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-371	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
04	85186bfd8bcaa78e820ac5ddedf2c656d531931ecafbec8900ef596cc28ae9ee	PROCESS	811 | 8111	배관․전로공사 | 배관및전로공사	전기 자동제어 계장 신호 통신공통공사 > 배관․전로공사 | 전기 자동제어 계장 신호 통신공통공사 > 배관․전로공사 > 배관및전로공사	LABEL_VARIANT	ACTIVE_GPT_REVIEW	81 | 811	전기 자동제어 계장 신호 통신공통공사 | 배관․전로공사	EMPTY	81 | 81	전기 자동제어 계장 신호 통신공통공사 | 전기 자동제어 계장 신호 통신공통공사	EMPTY	EMPTY	EMPTY	EMPTY	MULTI_RAW_VARIANTS	EMPTY	EMPTY	EMPTY	EMPTY	811=배관․전로공사 | 8111=배관및전로공사	normalized_token_sequence_A=배관|전로공사 | normalized_token_sequence_B=배관|전로공사 | punctuation_removed_equal=NO | connector_normalized_equal=YES | whitespace_removed_equal=NO | middle_dot_present_A=YES | 및_present_B=YES | meaning_bearing_word_difference=NO | hierarchy_relation=PARENT_CHILD | hierarchy_level_A=W_MID | hierarchy_level_B=W_LEAF | source_path_A=전기 자동제어 계장 신호 통신공통공사 > 배관․전로공사 | source_path_B=전기 자동제어 계장 신호 통신공통공사 > 배관․전로공사 > 배관및전로공사 | source_parent_label=배관․전로공사 | source_child_label=배관및전로공사 | sibling_naming_pattern=812=배선․가선공사; 813=전기․통신공사관련기타공통공사	REVIEW-010 members | REVIEW-011 labels | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
05	ba7464ebdf6a54c4e9f41527a34eb43bc81acd1179e83a68a1c0c6244ad03980	TASK	061	장비운반	공통장비 > 장비운반	PARENT	ACTIVE_GPT_REVIEW	06	공통장비	REFERENCE_ONLY:ORIGINAL_REJECT	06	공통장비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-06	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
06	b04a22eac59269ecbefbb8cb7b88dbc9bb80873d12c84cd2a917409e70d1dd4b	PROCESS	673	의료시험및시운전공사실가스공사 - - 대․중․소 분류대․중․소 분류	서비스설비공사 > 의료시험및시운전공사실가스공사 - - 대․중․소 분류대․중․소 분류	FROZEN_LABEL_HOLD	FROZEN_HOLD	67	서비스설비공사	EMPTY	67	서비스설비공사	1	4d9e8f9fa87bd378789d8cf760fcc530d324b31228a4807c8d19549ba282a0af	EMPTY	EMPTY	FROZEN_HOLD_LABEL_CONFIRMED	EMPTY	EMPTY	EMPTY	EMPTY	의료시험및시운전공사실가스공사 - - 대․중․소 분류대․중․소 분류	CARRY_FORWARD_REVIEW_015_HOLD_LABEL_CONFIRMED	REVIEW-015 remaining5 | REVIEW-016 blocker queue	NO	HOLD_LABEL_CONFIRMED	EMPTY	EMPTY	NOT_APPROVED
07	8d001bee4680940152af6429b4c5f3827cfce258485b1683294cbe4bb94cdf1d	PROCESS	8121 | 812	배선및가선공사 | 배선․가선공사	전기 자동제어 계장 신호 통신공통공사 > 배선․가선공사 > 배선및가선공사 | 전기 자동제어 계장 신호 통신공통공사 > 배선․가선공사	LABEL_VARIANT	ACTIVE_GPT_REVIEW	81 | 812	전기 자동제어 계장 신호 통신공통공사 | 배선․가선공사	EMPTY	81 | 81	전기 자동제어 계장 신호 통신공통공사 | 전기 자동제어 계장 신호 통신공통공사	EMPTY	EMPTY	EMPTY	EMPTY	MULTI_RAW_VARIANTS	EMPTY	EMPTY	EMPTY	EMPTY	812=배선․가선공사 | 8121=배선및가선공사	normalized_token_sequence_A=배선|가선공사 | normalized_token_sequence_B=배선|가선공사 | punctuation_removed_equal=NO | connector_normalized_equal=YES | whitespace_removed_equal=NO | middle_dot_present_A=YES | 및_present_B=YES | meaning_bearing_word_difference=NO | hierarchy_relation=PARENT_CHILD | hierarchy_level_A=W_MID | hierarchy_level_B=W_LEAF | source_path_A=전기 자동제어 계장 신호 통신공통공사 > 배선․가선공사 | source_path_B=전기 자동제어 계장 신호 통신공통공사 > 배선․가선공사 > 배선및가선공사 | source_parent_label=배선․가선공사 | source_child_label=배선및가선공사 | sibling_naming_pattern=811=배관․전로공사; 813=전기․통신공사관련기타공통공사	REVIEW-010 members | REVIEW-011 labels | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
08	c96ac36c304825c29ee231af7f514ce0ac096e0522815892526a63eb98631e39	PROCESS	0112	공사계획	공사일반사항및공사비 > 공사일반사항 > 공사계획	PARENT	ACTIVE_GPT_REVIEW	011	공사일반사항	REFERENCE_ONLY:ORIGINAL_REJECT	01	공사일반사항및공사비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-011	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
09	18df971e963e4445f7d9de6e11e0f689795b23e52411ebe3f4e06552ab12c251	TASK	0113	서류및샘플제출	공사일반사항및공사비 > 공사일반사항 > 서류및샘플제출	PARENT	ACTIVE_GPT_REVIEW	011	공사일반사항	REFERENCE_ONLY:ORIGINAL_REJECT	01	공사일반사항및공사비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-011	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
10	7a439acd29dd65f69446cf3e5799efa47c52dc521704096d4356e2e021028380	TASK	0114	검측 기성	공사일반사항및공사비 > 공사일반사항 > 검측 기성	PARENT	ACTIVE_GPT_REVIEW	011	공사일반사항	REFERENCE_ONLY:ORIGINAL_REJECT	01	공사일반사항및공사비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-011	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
