source_review_stage	source_review_no	source_key	seed_proposal_key	name	hierarchy_level	source_path	root_name	root_source_key	parent_name	parent_source_key	semantic_kind	semantic_review_decision	existing_reason	sibling_count	sibling_names	reviewed_sibling_count	reviewed_sibling_refs	reviewed_sibling_semantic_kinds	reviewed_sibling_decisions	exact_raw_name_peer_count	exact_raw_name_peer_refs	exact_raw_name_peer_paths	gpt_hold_resolution	gpt_resolved_semantic_kind	gpt_resolved_review_decision	gpt_hold_reason
BATCH001	55	2352	7185d093d571ac18405e863997673d3b0a14c1688b7c31035e5eb4bc1632bc7b	Attiplugite슬러리월	W_LEAF	말뚝공사 > 지하연속벽(SlurryWall) > Attiplugite슬러리월	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	0	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	56	3412	f94eee52d48ef45f0a44677664858272c19dbcb89e581c7d852fee4913bb28aa	FCM공법	W_LEAF	교량공사 > 교량가설공사 > FCM공법	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	4	FSM공법 | ILM공법 | MSS공법 | PSM공법	4	3413:FSM공법:AMBIGUOUS:HOLD | 3411:ILM공법:AMBIGUOUS:HOLD | 3414:MSS공법:AMBIGUOUS:HOLD | 3415:PSM공법:AMBIGUOUS:HOLD	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS	HOLD | HOLD | HOLD | HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	59	3413	9fc549e2cbadc980c350dff5f7e86ab9012456189125abf9c01961e6625332c3	FSM공법	W_LEAF	교량공사 > 교량가설공사 > FSM공법	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	4	FCM공법 | ILM공법 | MSS공법 | PSM공법	4	3412:FCM공법:AMBIGUOUS:HOLD | 3411:ILM공법:AMBIGUOUS:HOLD | 3414:MSS공법:AMBIGUOUS:HOLD | 3415:PSM공법:AMBIGUOUS:HOLD	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS	HOLD | HOLD | HOLD | HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	61	2256	93d31167a68d963ed8c9385ef8f2131ce36a8e4dd84ffeff6b03c00c889dbe93	GCP(GravelCompactionPile)	W_LEAF	지반개량및지반보강공사 > 다짐공법 > GCP(GravelCompactionPile)	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	1	SCP(SandCompactionPile)	1	2255:SCP(SandCompactionPile):AMBIGUOUS:HOLD	AMBIGUOUS	HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	63	3411	9b9e63b59e70420fbc4aaaad17fd2dcff623853aa7499cac923b30f025548327	ILM공법	W_LEAF	교량공사 > 교량가설공사 > ILM공법	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	4	FCM공법 | FSM공법 | MSS공법 | PSM공법	4	3412:FCM공법:AMBIGUOUS:HOLD | 3413:FSM공법:AMBIGUOUS:HOLD | 3414:MSS공법:AMBIGUOUS:HOLD | 3415:PSM공법:AMBIGUOUS:HOLD	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS	HOLD | HOLD | HOLD | HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	67	3414	64c198e2f4f6f807628e1008efb84d0d9099439f0dd82503c261294ec5f039ab	MSS공법	W_LEAF	교량공사 > 교량가설공사 > MSS공법	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	4	FCM공법 | FSM공법 | ILM공법 | PSM공법	4	3412:FCM공법:AMBIGUOUS:HOLD | 3413:FSM공법:AMBIGUOUS:HOLD | 3411:ILM공법:AMBIGUOUS:HOLD | 3415:PSM공법:AMBIGUOUS:HOLD	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS	HOLD | HOLD | HOLD | HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	73	263	c8be52f082068bbc8a2285bed88627abadb82de4bf46ddc8af55c392e751177e	PC부재운반	W_MID	프리케스트콘크리트공사 > PC부재운반	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	3	PC부속공사 | PC부재생산 | PC형틀및생산시설	3	268:PC부속공사:PROCESS:KEEP_AS_DISTINCT | 262:PC부재생산:PROCESS:KEEP_AS_DISTINCT | 261:PC형틀및생산시설:FACILITY_EQUIPMENT:REJECT	PROCESS | PROCESS | FACILITY_EQUIPMENT	KEEP_AS_DISTINCT | KEEP_AS_DISTINCT | REJECT	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	74	2646	1b8be951bec6ac3940752879a2072e3a8e7fb97ecf3c102a215e87f1d42dc659	PC슬라브조립	W_LEAF	프리케스트콘크리트공사 > 토목PC구조부재조립 > PC슬라브조립	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	0	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	77	2682	d1b90a65c1dad0b8b06dc9fa87e6d7ae12e921d461c70b4562d0a97f474e703b	PC조인트그라우팅	W_LEAF	프리케스트콘크리트공사 > PC부속공사 > PC조인트그라우팅	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	1	PC부속재설치공사	1	2681:PC부속재설치공사:PROCESS:KEEP_AS_DISTINCT	PROCESS	KEEP_AS_DISTINCT	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	79	3415	b0f74699d74c07ae6fa100aeede354bd4d6b20e188ec5c237f0048e3ac4dd011	PSM공법	W_LEAF	교량공사 > 교량가설공사 > PSM공법	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	4	FCM공법 | FSM공법 | ILM공법 | MSS공법	4	3412:FCM공법:AMBIGUOUS:HOLD | 3413:FSM공법:AMBIGUOUS:HOLD | 3411:ILM공법:AMBIGUOUS:HOLD | 3414:MSS공법:AMBIGUOUS:HOLD	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS	HOLD | HOLD | HOLD | HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
