source_review_stage	source_review_no	source_key	seed_proposal_key	name	hierarchy_level	source_path	parent_name	root_name	semantic_kind	semantic_review_decision	existing_reason	available_context	gpt_hold_resolution	gpt_hold_reason
BATCH001	55	2352	7185d093d571ac18405e863997673d3b0a14c1688b7c31035e5eb4bc1632bc7b	Attiplugite슬러리월	W_LEAF	말뚝공사 > 지하연속벽(SlurryWall) > Attiplugite슬러리월	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	말뚝공사 > 지하연속벽(SlurryWall) > Attiplugite슬러리월	PENDING	EMPTY
BATCH001	56	3412	f94eee52d48ef45f0a44677664858272c19dbcb89e581c7d852fee4913bb28aa	FCM공법	W_LEAF	교량공사 > 교량가설공사 > FCM공법	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	교량공사 > 교량가설공사 > FCM공법	PENDING	EMPTY
BATCH001	59	3413	9fc549e2cbadc980c350dff5f7e86ab9012456189125abf9c01961e6625332c3	FSM공법	W_LEAF	교량공사 > 교량가설공사 > FSM공법	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	교량공사 > 교량가설공사 > FSM공법	PENDING	EMPTY
BATCH001	61	2256	93d31167a68d963ed8c9385ef8f2131ce36a8e4dd84ffeff6b03c00c889dbe93	GCP(GravelCompactionPile)	W_LEAF	지반개량및지반보강공사 > 다짐공법 > GCP(GravelCompactionPile)	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	지반개량및지반보강공사 > 다짐공법 > GCP(GravelCompactionPile)	PENDING	EMPTY
BATCH001	63	3411	9b9e63b59e70420fbc4aaaad17fd2dcff623853aa7499cac923b30f025548327	ILM공법	W_LEAF	교량공사 > 교량가설공사 > ILM공법	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	교량공사 > 교량가설공사 > ILM공법	PENDING	EMPTY
BATCH001	67	3414	64c198e2f4f6f807628e1008efb84d0d9099439f0dd82503c261294ec5f039ab	MSS공법	W_LEAF	교량공사 > 교량가설공사 > MSS공법	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	교량공사 > 교량가설공사 > MSS공법	PENDING	EMPTY
BATCH001	73	263	c8be52f082068bbc8a2285bed88627abadb82de4bf46ddc8af55c392e751177e	PC부재운반	W_MID	프리케스트콘크리트공사 > PC부재운반	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	프리케스트콘크리트공사 > PC부재운반	PENDING	EMPTY
BATCH001	74	2646	1b8be951bec6ac3940752879a2072e3a8e7fb97ecf3c102a215e87f1d42dc659	PC슬라브조립	W_LEAF	프리케스트콘크리트공사 > 토목PC구조부재조립 > PC슬라브조립	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	프리케스트콘크리트공사 > 토목PC구조부재조립 > PC슬라브조립	PENDING	EMPTY
BATCH001	77	2682	d1b90a65c1dad0b8b06dc9fa87e6d7ae12e921d461c70b4562d0a97f474e703b	PC조인트그라우팅	W_LEAF	프리케스트콘크리트공사 > PC부속공사 > PC조인트그라우팅	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	프리케스트콘크리트공사 > PC부속공사 > PC조인트그라우팅	PENDING	EMPTY
BATCH001	79	3415	b0f74699d74c07ae6fa100aeede354bd4d6b20e188ec5c237f0048e3ac4dd011	PSM공법	W_LEAF	교량공사 > 교량가설공사 > PSM공법	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	교량공사 > 교량가설공사 > PSM공법	PENDING	EMPTY
