source_review_stage	source_review_no	source_key	seed_proposal_key	name	gpt_merge_resolution	gpt_merge_target_keys	resolution_group_source_keys	gpt_merge_reason	approval_state
BATCH002	207	08	ce9fb3e2a46aa2537470b08a1c5b2e396d1977583cbc5910cd14712712d62673	건축품질시험	MERGE_CONFIRMED	f22338c2fa2f7baddde670cf1456d4e9c9ce671e9b581c77d50f04b2efeaf4e7	073 | 08	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
BATCH002	259	86	1b752e388f8f16b7b4098c157968ae399def37a2aa552f7ea130ee7ef018ae6a	기타전기설비공사	MERGE_CONFIRMED	f5b741c5432767b697db7c6b3ed10a4f5da683bad0a3f3cd5934dad29d2e2cb3 | 350408a38cfc6742ef72b4dbcb2e6da5d10e34055a0ac1898aa3330872bc1225	86 | 863 | 8631	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
BATCH002	376	6311	cfc316505b91f515b236b535dd0c5eb1db0852793a57837ffcc5d855577f9829	위생기구류공사	MERGE_CONFIRMED	a5d95affcf2ad16b1c201fadf37090e971f5b276dd400ff865225a75de74574c	6311 | 6312	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
BATCH002	380	6711	e8d8e750f5afba1f6f3c35e0d41463c9172189a682619323f8694e0d816d8c42	주방기구설비공사	MERGE_CONFIRMED	77a32cec68a2d3a4f2b9680235e49d12e0e4df2ae0e6ae2c89126afb82d8ee48	671 | 6711	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
BATCH002	383	7311	cec40465db152219d2a21895981260ad1ee82b9ccc743cbab1d59d4a8e72e132	쓰레기소각설비공사	MERGE_CONFIRMED	4b23e02e5c2a6714c948ccd8b5b4281a5ef5a6786b6a28850507847f8ea0cb37	731 | 7311	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
BATCH002	384	7411	3a1fee75a8c13b15c88024aad71277a8bcc254ad333ea59940817792228663a1	운반기계설비공사	MERGE_CONFIRMED	fb37f8540052d6b2cd2bf487a6b837f7047ab6d719e0d404c411c3683b39ea70	741 | 7411	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
BATCH002	386	8111	fc1791cf8f9288e0e7688654ab3d0d54d1968493d1ec1895e37714ad36384a49	배관및전로공사	MERGE_CONFIRMED	eb373e4c48626a09e8c60615e188fa454646ebab3d7a2223091b86d47120f673	811 | 8111	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
BATCH002	388	8311	73d311c8d9d65139be81ac55e8cf8a4a6237baf090c49709d93b57caacae7c89	배전설비공사	MERGE_CONFIRMED	a3535fa6836e0e8e66cd0b9b64611148cf9b2c72b48a554d16d2301b942d74dd	831 | 8311	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
BATCH002	396	0521	bcb3457f521aca9f8edf395bf60f7596d1925192879e0c6d36a5fdcf1c72e549	기존도로유지보수	MERGE_CONFIRMED	ed24e98c7e863a042eefd22723c80c299bacb4544c1c38e6f509bc1c7ee2a835	052 | 0521	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
W_MID_REVIEW003	410	052	ed24e98c7e863a042eefd22723c80c299bacb4544c1c38e6f509bc1c7ee2a835	기존도로유지보수	MERGE_CONFIRMED	bcb3457f521aca9f8edf395bf60f7596d1925192879e0c6d36a5fdcf1c72e549	052 | 0521	GPT_009_MERGE_CONFIRMED_EQUIVALENCE	NOT_APPROVED
