source_review_stage	source_review_no	source_key	seed_proposal_key	name	hierarchy_level	semantic_kind	merge_candidate_keys	reference_status	counterpart_count	counterpart_proposal_keys	counterpart_source_keys	counterpart_names	counterpart_hierarchy_levels	counterpart_semantic_kinds	counterpart_review_decisions	reciprocal_reference_status	gpt_merge_resolution	gpt_merge_reason
BATCH002	207	08	ce9fb3e2a46aa2537470b08a1c5b2e396d1977583cbc5910cd14712712d62673	건축품질시험	W_ROOT	PROCESS	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
BATCH002	259	86	1b752e388f8f16b7b4098c157968ae399def37a2aa552f7ea130ee7ef018ae6a	기타전기설비공사	W_ROOT	PROCESS	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
BATCH002	376	6311	cfc316505b91f515b236b535dd0c5eb1db0852793a57837ffcc5d855577f9829	위생기구류공사	W_LEAF	PROCESS	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
BATCH002	380	6711	e8d8e750f5afba1f6f3c35e0d41463c9172189a682619323f8694e0d816d8c42	주방기구설비공사	W_LEAF	PROCESS	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
BATCH002	383	7311	cec40465db152219d2a21895981260ad1ee82b9ccc743cbab1d59d4a8e72e132	쓰레기소각설비공사	W_LEAF	PROCESS	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
BATCH002	384	7411	3a1fee75a8c13b15c88024aad71277a8bcc254ad333ea59940817792228663a1	운반기계설비공사	W_LEAF	PROCESS	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
BATCH002	386	8111	fc1791cf8f9288e0e7688654ab3d0d54d1968493d1ec1895e37714ad36384a49	배관및전로공사	W_LEAF	PROCESS	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
BATCH002	388	8311	73d311c8d9d65139be81ac55e8cf8a4a6237baf090c49709d93b57caacae7c89	배전설비공사	W_LEAF	PROCESS	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
BATCH002	396	0521	bcb3457f521aca9f8edf395bf60f7596d1925192879e0c6d36a5fdcf1c72e549	기존도로유지보수	W_LEAF	TASK	UNRESOLVED	UNRESOLVED	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	EMPTY
W_MID_REVIEW003	410	052	ed24e98c7e863a042eefd22723c80c299bacb4544c1c38e6f509bc1c7ee2a835	기존도로유지보수	W_MID	TASK	bcb3457f521aca9f8edf395bf60f7596d1925192879e0c6d36a5fdcf1c72e549	EXPLICIT_REFERENCE	1	bcb3457f521aca9f8edf395bf60f7596d1925192879e0c6d36a5fdcf1c72e549	0521	기존도로유지보수	W_LEAF	TASK	MERGE_CANDIDATE	ONE_WAY	PENDING	EMPTY
W_MID_REVIEW003	610	626	bc0a4d662ca7b0941b18787498ac8e30f6e33685ce168afed16810ad25ee929e	냉온수기설치공사	W_MID	PROCESS	a039a9327b4c4c96e64474e98cd6c7823a4eb4f31c47cee51bee465c7810fec5	EXPLICIT_REFERENCE	1	a039a9327b4c4c96e64474e98cd6c7823a4eb4f31c47cee51bee465c7810fec5	6263	냉온수기설치공사	W_LEAF	PROCESS	MERGE_CANDIDATE	RECIPROCAL	PENDING	EMPTY
W_MID_REVIEW003	622	671	77a32cec68a2d3a4f2b9680235e49d12e0e4df2ae0e6ae2c89126afb82d8ee48	주방기구설비공사	W_MID	PROCESS	e8d8e750f5afba1f6f3c35e0d41463c9172189a682619323f8694e0d816d8c42	EXPLICIT_REFERENCE	1	e8d8e750f5afba1f6f3c35e0d41463c9172189a682619323f8694e0d816d8c42	6711	주방기구설비공사	W_LEAF	PROCESS	MERGE_CANDIDATE	ONE_WAY	PENDING	EMPTY
W_MID_REVIEW003	623	672	2cd5380b46c25ebe366a610accb7c2a9896377f1679e394367c8976dc5513886	세탁장비설비공사	W_MID	PROCESS	ea2d0584700561d86e79b8c3028c0d6f62f35082be51974a9de7d6154f257c19	EXPLICIT_REFERENCE	1	ea2d0584700561d86e79b8c3028c0d6f62f35082be51974a9de7d6154f257c19	6721	세탁장비설비공사	W_LEAF	PROCESS	MERGE_CANDIDATE	RECIPROCAL	PENDING	EMPTY
W_MID_REVIEW003	640	731	4b23e02e5c2a6714c948ccd8b5b4281a5ef5a6786b6a28850507847f8ea0cb37	쓰레기소각설비공사	W_MID	PROCESS	cec40465db152219d2a21895981260ad1ee82b9ccc743cbab1d59d4a8e72e132	EXPLICIT_REFERENCE	1	cec40465db152219d2a21895981260ad1ee82b9ccc743cbab1d59d4a8e72e132	7311	쓰레기소각설비공사	W_LEAF	PROCESS	MERGE_CANDIDATE	ONE_WAY	PENDING	EMPTY
W_MID_REVIEW003	642	733	825fafb2cb0c673e04be97f4b5951a6ee10a97422da44fabc817689fa15d0b35	폐기물처리설비공사	W_MID	PROCESS	94781565ffc96c59368401b0a8f1eac4b629cd2793f473ce3d5bfed839b48e79	EXPLICIT_REFERENCE	1	94781565ffc96c59368401b0a8f1eac4b629cd2793f473ce3d5bfed839b48e79	7331	폐기물처리설비공사	W_LEAF	PROCESS	MERGE_CANDIDATE	RECIPROCAL	PENDING	EMPTY
W_MID_REVIEW003	643	734	5b2b1b50650cc366df922ba1bb6f8a8b3c7d34b465948b859afc640e34ddaee7	탈취설비공사	W_MID	PROCESS	09b4f095b19bee0dd96a6b2388be770823b3880afbb8ef4071f5fd8f885a0243	EXPLICIT_REFERENCE	1	09b4f095b19bee0dd96a6b2388be770823b3880afbb8ef4071f5fd8f885a0243	7341	탈취설비공사	W_LEAF	PROCESS	MERGE_CANDIDATE	RECIPROCAL	PENDING	EMPTY
W_MID_REVIEW003	648	741	fb37f8540052d6b2cd2bf487a6b837f7047ab6d719e0d404c411c3683b39ea70	운반기계설비공사	W_MID	PROCESS	3a1fee75a8c13b15c88024aad71277a8bcc254ad333ea59940817792228663a1	EXPLICIT_REFERENCE	1	3a1fee75a8c13b15c88024aad71277a8bcc254ad333ea59940817792228663a1	7411	운반기계설비공사	W_LEAF	PROCESS	MERGE_CANDIDATE	ONE_WAY	PENDING	EMPTY
W_MID_REVIEW003	657	811	eb373e4c48626a09e8c60615e188fa454646ebab3d7a2223091b86d47120f673	배관․전로공사	W_MID	PROCESS	fc1791cf8f9288e0e7688654ab3d0d54d1968493d1ec1895e37714ad36384a49	EXPLICIT_REFERENCE	1	fc1791cf8f9288e0e7688654ab3d0d54d1968493d1ec1895e37714ad36384a49	8111	배관및전로공사	W_LEAF	PROCESS	MERGE_CANDIDATE	ONE_WAY	PENDING	EMPTY
W_MID_REVIEW003	658	812	e066088663d01d820767c3f0971b34fad3f3e906d1fc5237d06f74f293fb3ac2	배선․가선공사	W_MID	PROCESS	a92103b18447566c3e183956eb3489d8ac77a133025815449d9c425230a77411	EXPLICIT_REFERENCE	1	a92103b18447566c3e183956eb3489d8ac77a133025815449d9c425230a77411	8121	배선및가선공사	W_LEAF	PROCESS	MERGE_CANDIDATE	RECIPROCAL	PENDING	EMPTY
W_MID_REVIEW003	660	821	cdd59d0734b914f44b5e6cb52823916adb204ac8c117ecfc2656b8261f512d03	송전설비공사	W_MID	PROCESS	19a7a1e05e47a7fde52307c40e1823fed170c77936c99df5c476bb3c07be426f	EXPLICIT_REFERENCE	1	19a7a1e05e47a7fde52307c40e1823fed170c77936c99df5c476bb3c07be426f	8212	송전설비공사	W_LEAF	PROCESS	MERGE_CANDIDATE	RECIPROCAL	PENDING	EMPTY
W_MID_REVIEW003	661	822	229db50c74c354e18b6457206c64fb830f0d02fa46e3b2ae916af1743d349b31	배전설비공사	W_MID	PROCESS	c13f0ded5641a6a99546143694798aa30b64ee43952ea0b9179e2c6c3adc3f2a | a3535fa6836e0e8e66cd0b9b64611148cf9b2c72b48a554d16d2301b942d74dd | 73d311c8d9d65139be81ac55e8cf8a4a6237baf090c49709d93b57caacae7c89	EXPLICIT_REFERENCE	3	c13f0ded5641a6a99546143694798aa30b64ee43952ea0b9179e2c6c3adc3f2a | a3535fa6836e0e8e66cd0b9b64611148cf9b2c72b48a554d16d2301b942d74dd | 73d311c8d9d65139be81ac55e8cf8a4a6237baf090c49709d93b57caacae7c89	8222 | 831 | 8311	배전설비공사 | 배전설비공사 | 배전설비공사	W_LEAF | W_MID | W_LEAF	PROCESS | PROCESS | PROCESS	MERGE_CANDIDATE | MERGE_CANDIDATE | MERGE_CANDIDATE	MULTI_REFERENCE	PENDING	EMPTY
W_MID_REVIEW003	664	825	6657f500b9d1bfe59b90e693c9d3fabc9d494f04b2f72d9ec0ff1560bc83fc17	기타전기설비공사	W_MID	PROCESS	f5b741c5432767b697db7c6b3ed10a4f5da683bad0a3f3cd5934dad29d2e2cb3 | 350408a38cfc6742ef72b4dbcb2e6da5d10e34055a0ac1898aa3330872bc1225	EXPLICIT_REFERENCE	2	f5b741c5432767b697db7c6b3ed10a4f5da683bad0a3f3cd5934dad29d2e2cb3 | 350408a38cfc6742ef72b4dbcb2e6da5d10e34055a0ac1898aa3330872bc1225	863 | 8631	기타전기설비공사 | 기타전기설비공사	W_MID | W_LEAF	PROCESS | PROCESS	MERGE_CANDIDATE | MERGE_CANDIDATE	MULTI_REFERENCE	PENDING	EMPTY
