review_order	review_concept_key	concept_form	effective_semantic_kind	member_count	member_source_keys	member_source_paths	member_root_names	unique_root_count	direct_parent_concept_keys	direct_parent_concept_count	nearest_candidate_ancestor_keys	nearest_candidate_ancestor_count	hierarchy_readiness	hierarchy_review_reason	owner_approval_state
1	bbe558ae99a905c06154f7cc257c8435fb594caa9af47f80e6788e4d18a7d316	SINGLETON	PROCESS	1	414	조적공사 > ALC공사	조적공사	1	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	1	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
4	839dc19649fb4273c6626d056fc80cdd40e7d589f4900867908edae42cb393f5	SINGLETON	PROCESS	1	7351	폐기물처리및대기환경설비관련공사 > 탈황설비공사 > Absorber&AuxSystem공사	폐기물처리및대기환경설비관련공사	1	6c2da1062cabb941946777b7381ec0ec9bd0ee98bf97ec5c2dd234d3b19b5b7d	1	6c2da1062cabb941946777b7381ec0ec9bd0ee98bf97ec5c2dd234d3b19b5b7d	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
7	6c21f362ece7e65e3ec6f684de5dea10fe6b6e06baa8eee79db2d1feb9d94337	SINGLETON	PROCESS	1	7355	폐기물처리및대기환경설비관련공사 > 탈황설비공사 > FGDAuxSystem공사	폐기물처리및대기환경설비관련공사	1	6c2da1062cabb941946777b7381ec0ec9bd0ee98bf97ec5c2dd234d3b19b5b7d	1	6c2da1062cabb941946777b7381ec0ec9bd0ee98bf97ec5c2dd234d3b19b5b7d	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
10	92e32d2dee1666876cca768c52709be997582e7e8091b458c797083793a6d3e4	SINGLETON	PROCESS	1	7352	폐기물처리및대기환경설비관련공사 > 탈황설비공사 > FlueGasSystem공사	폐기물처리및대기환경설비관련공사	1	6c2da1062cabb941946777b7381ec0ec9bd0ee98bf97ec5c2dd234d3b19b5b7d	1	6c2da1062cabb941946777b7381ec0ec9bd0ee98bf97ec5c2dd234d3b19b5b7d	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
12	86ffb68a39d675b493858a29b00039d3fae64664c0109489755514026b9dfca5	SINGLETON	PROCESS	1	8231	송배전․발 수변전전기공사 > 발전 수변전관련전기설비공사 > GIS공사	송배전․발 수변전전기공사	1	9c5d076acd3550d07d3b8d5e161a39d20bc03992a7d1c3a04b07f92d854efb99	1	9c5d076acd3550d07d3b8d5e161a39d20bc03992a7d1c3a04b07f92d854efb99	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
14	d1a644bf206f36fbba36773f652f7da71e0611ac4f98b5fe7884bda680ddfea4	SINGLETON	PROCESS	1	762	에너지저장및관련수송설비공사 > LNG및원유저장공사	에너지저장및관련수송설비공사	1	4550c015794f93c550fc4a407b3d0537ebd3fde8130246cd5dfb9e0da0674984	1	4550c015794f93c550fc4a407b3d0537ebd3fde8130246cd5dfb9e0da0674984	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
15	6d84520c0cde5906f203cd53dcd7edacd5f1cc45e1cb05cc0d3f74c257568d1e	SINGLETON	PROCESS	1	7621	에너지저장및관련수송설비공사 > LNG및원유저장공사 > LNG및원유저장설비공사	에너지저장및관련수송설비공사	1	d1a644bf206f36fbba36773f652f7da71e0611ac4f98b5fe7884bda680ddfea4	1	d1a644bf206f36fbba36773f652f7da71e0611ac4f98b5fe7884bda680ddfea4	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
16	ed71d9533dec298e4d7948cd99d3fb769aa7157a8e94c3bf6e53a1ed115d8040	SINGLETON	PROCESS	1	7183	발전설비공사 > 발전설비관련공사 > LinerPlate설치공사	발전설비공사	1	d28c045a9338660ab84ceaeee6a3e1dda86dd49a33133129bb062dc2d46680b1	1	d28c045a9338660ab84ceaeee6a3e1dda86dd49a33133129bb062dc2d46680b1	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
18	ac92b29e0ba7da0d9ef8b7913ac878b10bd361fbee8c3a6a53774bb049ab064e	SINGLETON	PROCESS	1	3515	터널공사 > 터널굴착공사 > NATM공법굴착	터널공사	1	6b98d35f3e55a1716df158a441525178b2d9f6cec422a4ebfec65483568a807f	1	6b98d35f3e55a1716df158a441525178b2d9f6cec422a4ebfec65483568a807f	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
19	c582770b2e2875480369557c452dd0492caaf3fe84fd84946ba46a9607bda689	SINGLETON	PROCESS	1	0373	본공사성가설공사 > 가물막이 > P.P마대가물막이	본공사성가설공사	1	acf048a5240dfcfa6c13ef808f343ba91df60c7588b714ad55e193b842d47c36	1	acf048a5240dfcfa6c13ef808f343ba91df60c7588b714ad55e193b842d47c36	1	SINGLE_PARENT_EVIDENCE	SINGLE_PARENT_EVIDENCE	NOT_APPROVED
