source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	exclusion_lane	exclusion_basis	owner_approval_state
01	365f2d2491bee062fd5fe945d8c72e15b0fa189edc2975b3349c5120a4c597f9	공사일반사항및공사비	W_ROOT	공사일반사항및공사비	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
011	a5e3f1e50bae0dc0e1cd29c2867e144008fb8b6834eaac72a92488d157ed2ad7	공사일반사항	W_MID	공사일반사항및공사비 > 공사일반사항	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0111	174c276ed31db80d4f28170b1e2013696e40def172315f9fd9670135c88d1bdc	공사개요	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 공사개요	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
015	48e315bc2c984bab456a7510e9e8f8eceef30cd2b82bddbb885355875edb214a	공사비	W_MID	공사일반사항및공사비 > 공사비	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0151	d830409679b1f0da0d1aacab97ad529038af6a163a9bb972777601e78947fd7c	직접공사비	W_LEAF	공사일반사항및공사비 > 공사비 > 직접공사비	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0152	1c5f282c7e89359015a87f8d5b875160ee20c042c9090ef81634746e63da22a9	공통공사비	W_LEAF	공사일반사항및공사비 > 공사비 > 공통공사비	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0153	240d54c6a7d0aa88f3942dd578b3a253d2a73b69e489b49d25447213e6b6e27a	간접인건비	W_LEAF	공사일반사항및공사비 > 공사비 > 간접인건비	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0154	c715959ca99a68ae560fff2e2535cbc850ff215ebd2862cab482cb1907bc2db4	경비	W_LEAF	공사일반사항및공사비 > 공사비 > 경비	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0155	5459ac9907be88969f0bbbd518e20f2351a6a20ec58ba43880bb559a46c65a70	일반관리비	W_LEAF	공사일반사항및공사비 > 공사비 > 일반관리비	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0156	505acf6ef125b9f80a5b9d75da43d66e15fa8cee050243c69309724ee4215cab	이윤	W_LEAF	공사일반사항및공사비 > 공사비 > 이윤	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
