review_key	source_key	project_kind	work_type	source_name	source_path	gpt_semantic_decision	gpt_target_canonical_id	gpt_target_canonical_name	gpt_mapping_type	gpt_reason	gpt_confidence_class	input_evidence_sha	canonical_reference_sha	review_authority	review_batch	source_name_normalized	source_path_normalized	batch_no
04aab323549c5bc26935a05e97722e9e555d99613a3c521e14d14cdb3876bdf2	8597a4b65d8bec9af879b88a4d1512c6157b1c0a58d97089c3ab815c5b048fe3	교량 및 도로	되메움작업	토사반입 및 되메움 실시	교량 및 도로 > 되메움작업 > 토사반입 및 되메움 실시	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	토사반입 및 되메움 실시	교량 및 도로 > 되메움작업 > 토사반입 및 되메움 실시	B01
0e228b1a535e67cd134ac2a02827c09a3a51e4d9b7eff19b8d628ebb9e93967a	0b7b703019d74370ac5c5b800396e3f5d447111ba87601a916ee917ea6cc676e	교량 및 도로	가체절작업	가체절(물막이) 흙막이 시공	교량 및 도로 > 가체절작업 > 가체절(물막이) 흙막이 시공	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	가체절(물막이) 흙막이 시공	교량 및 도로 > 가체절작업 > 가체절(물막이) 흙막이 시공	B01
1722bbb30fdaa4f50ee52fa1b21814cbacef758a17657caa020062544f4d9e23	3c9afd24913e114514da195cf6444d90787d9b1526dfe6d8f401363e7258d6a8	교량 및 도로	슬립폼작업	슬립 폼(슬라이딩 폼) 인양	교량 및 도로 > 슬립폼작업 > 슬립 폼(슬라이딩 폼) 인양	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	슬립 폼(슬라이딩 폼) 인양	교량 및 도로 > 슬립폼작업 > 슬립 폼(슬라이딩 폼) 인양	B01
266aeb4a24faf7196b35bd0a6d33a865aa3239c07bf235b9ef20315571570315	d8e9235523a44019d116f25c9e2dd5f780707469164f40606f555b27ed12c5ed	교량 및 도로	되메움작업	되메움 토사 다짐	교량 및 도로 > 되메움작업 > 되메움 토사 다짐	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	되메움 토사 다짐	교량 및 도로 > 되메움작업 > 되메움 토사 다짐	B01
351945a0c8bbb43220231dff06a60b2f040ac06c322dec2e58bd25be1b7268fa	2eefe143d41fac357b70f84850955ed33845878c299f2f6862a1c140f1371a1c	교량 및 도로	지장물조사 및 이설작업	지장물 되메움	교량 및 도로 > 지장물조사 및 이설작업 > 지장물 되메움	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	지장물 되메움	교량 및 도로 > 지장물조사 및 이설작업 > 지장물 되메움	B01
4c1cb8c6ada3af07a3d1da5296d49e3c55e1d0fb08d18dd838631265c3506b98	51774c38ff2614a66f3ccfc31914e7a8b9cf378129dc4bf15c6da28addbe13f0	교량 및 도로	슬립폼작업	슬립폼(슬라이딩 폼) 제작	교량 및 도로 > 슬립폼작업 > 슬립폼(슬라이딩 폼) 제작	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	슬립폼(슬라이딩 폼) 제작	교량 및 도로 > 슬립폼작업 > 슬립폼(슬라이딩 폼) 제작	B01
4ed232d740e13b38271caa67c53ebbda0f905c215a50bc8e537e5644e189c511	246911b38de7918628fa28af43bc677def32355c703c6db479bfef59220e8b17	교량 및 도로	거푸집작업	거푸집 동바리 인양	교량 및 도로 > 거푸집작업 > 거푸집 동바리 인양	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	거푸집 동바리 인양	교량 및 도로 > 거푸집작업 > 거푸집 동바리 인양	B01
572c5a61799458a8043cd56aba931c04ba2478701c628b6310b041cf6c59a1f9	96bdcb2b67727f386a9d0d699b6a437e0a25d898abb341efd80e5e09014994d7	교량 및 도로	강교설치작업	강교 슬라브 시공	교량 및 도로 > 강교설치작업 > 강교 슬라브 시공	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	강교 슬라브 시공	교량 및 도로 > 강교설치작업 > 강교 슬라브 시공	B01
57eb303f701218ce44710c5faa7e42f61bd5c0c291e1a86e71dcfe27d9ede0a8	816586652bf0e6f867af223af78be91f930db02cab14af74e0459b5ce3ae6d13	교량 및 도로	기초파일작업	기초파일 천공	교량 및 도로 > 기초파일작업 > 기초파일 천공	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	기초파일 천공	교량 및 도로 > 기초파일작업 > 기초파일 천공	B01
6a6f7077d2c344ae308dab27b782af066661f4c05a381677470e46223a28184c	a8e4cfab5b9671483a47a3e896172f4cdc68824c836a98058ded45d9ddbe4a1c	교량 및 도로	지장물조사 및 이설작업	지장물 조사 굴착	교량 및 도로 > 지장물조사 및 이설작업 > 지장물 조사 굴착	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	지장물 조사 굴착	교량 및 도로 > 지장물조사 및 이설작업 > 지장물 조사 굴착	B01
78983702aaa281ea617eda7460fb90033dae464509ebd5799d30ebfa2aee785f	a4e505fdc68d1fae7afb31a7f033be5d78fffdffe2bba4c1749d1c20953042f9	교량 및 도로	슬립폼작업	슬립 폼(슬라이딩 폼) 해체	교량 및 도로 > 슬립폼작업 > 슬립 폼(슬라이딩 폼) 해체	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	슬립 폼(슬라이딩 폼) 해체	교량 및 도로 > 슬립폼작업 > 슬립 폼(슬라이딩 폼) 해체	B01
79d5e23d2c523051427125281b7664f065bcadd9ca99a0802e2dcb9fcef6eb53	bd1d6d90e1b97c6d17285aaf5d3ff795c27af4b19b1112017d0655a1d0c01746	교량 및 도로	제작장설치작업	제작장 설치	교량 및 도로 > 제작장설치작업 > 제작장 설치	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	제작장 설치	교량 및 도로 > 제작장설치작업 > 제작장 설치	B01
