review_key	source_key	project_kind	work_type	source_name	source_path	gpt_semantic_decision	gpt_target_canonical_id	gpt_target_canonical_name	gpt_mapping_type	gpt_reason	gpt_confidence_class	input_evidence_sha	canonical_reference_sha	review_authority	review_batch	source_name_normalized	source_path_normalized	batch_no
0034ed50e3602b6df931765d1b234ecad0185972b8c1cee1202075cab4dd8288	91f7f540feca418fc9b1037f0a9259c4ccbf458c14dbfe3a107586f73dc209f7	교량 및 도로	위험기계기구작업	철근절단기 및 절곡기	교량 및 도로 > 위험기계기구작업 > 철근절단기 및 절곡기	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	철근절단기 및 절곡기	교량 및 도로 > 위험기계기구작업 > 철근절단기 및 절곡기	B01
0333aab34b4ba4550df52ff68af7e7faf3193d511a9fbc658cb2ac1a6cd85b70	7917b6b3052241b851eb8cf220e41d61c46cddf38623a2c831dfc13ef03b1224	교량 및 도로	안전가시설작업	달대비계	교량 및 도로 > 안전가시설작업 > 달대비계	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	달대비계	교량 및 도로 > 안전가시설작업 > 달대비계	B01
04aab323549c5bc26935a05e97722e9e555d99613a3c521e14d14cdb3876bdf2	8597a4b65d8bec9af879b88a4d1512c6157b1c0a58d97089c3ab815c5b048fe3	교량 및 도로	되메움작업	토사반입 및 되메움 실시	교량 및 도로 > 되메움작업 > 토사반입 및 되메움 실시	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	토사반입 및 되메움 실시	교량 및 도로 > 되메움작업 > 토사반입 및 되메움 실시	B01
05bb1b05b8f08812c47f6e1a718cb6625d590133f9edf9dbe13e2be62ccdcad8	3a246af5cd4d88cdb28f6a604ef760436407366119009b2bbfeae768eea12232	교량 및 도로	가설전기작업	교류아크 용접기	교량 및 도로 > 가설전기작업 > 교류아크 용접기	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	교류아크 용접기	교량 및 도로 > 가설전기작업 > 교류아크 용접기	B01
076b18770d1abd24ec94df626218dd267895f2622df15f7c88f745a7c82fbb1e	5f42f02170a6d35a1da1d418fb421462b2abde0949ef7fc707e447cbed5ab861	교량 및 도로	PSC교량작업	PSC 교량 거더 운반	교량 및 도로 > PSC교량작업 > PSC 교량 거더 운반	MAP_EXISTING_CANONICAL	2517aed8-23bc-4e23-a7c7-fcd8743847a7	PC부재운반	POSSIBLE_RELATED	PSC_GIRDER_TRANSPORT_IS_STRONGLY_RELATED_TO_PC_MEMBER_TRANSPORT_BUT_PC_PSC_SCOPE_EQUIVALENCE_IS_NOT_ASSUMED	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	PSC 교량 거더 운반	교량 및 도로 > PSC교량작업 > PSC 교량 거더 운반	B01
07d0ae5d882eb8046b9028348fae1d0d4f9bf60cd00effb51984896a6600218a	93c13180caae91b05ffa08f81056279c805504fe0d94e305431f31368316163e	교량 및 도로	위험기계기구작업	열풍기	교량 및 도로 > 위험기계기구작업 > 열풍기	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	열풍기	교량 및 도로 > 위험기계기구작업 > 열풍기	B01
0b3511adc033b38e803d8828d67423cadc20c8abb41ea1d7fb86f314ac84a183	a9883fcefdbe237836139b69b9924669e5b504663a218da56e68eb88cee25ad9	터널	발파작업	발파	터널 > 발파작업 > 발파	AMBIGUOUS			AMBIGUOUS	SAME_LEAF_NAME_BUT_SOURCE_CONTEXT_DOES_NOT_UNIQUELY_SELECT_AMONG_MULTIPLE_BLASTING_CANONICAL_TASKS	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	발파	터널 > 발파작업 > 발파	B01
0cab5d60242928dc7064503f17756e1e279752b1f51f19b3059c426a6fe6acc5	714d8c08d67942ed14f6ec300bf91d81c0aa4372c04fb5e1fea08db1008f6b63	교량 및 도로	안전가시설작업	비계	교량 및 도로 > 안전가시설작업 > 비계	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	비계	교량 및 도로 > 안전가시설작업 > 비계	B01
0e228b1a535e67cd134ac2a02827c09a3a51e4d9b7eff19b8d628ebb9e93967a	0b7b703019d74370ac5c5b800396e3f5d447111ba87601a916ee917ea6cc676e	교량 및 도로	가체절작업	가체절(물막이) 흙막이 시공	교량 및 도로 > 가체절작업 > 가체절(물막이) 흙막이 시공	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	가체절(물막이) 흙막이 시공	교량 및 도로 > 가체절작업 > 가체절(물막이) 흙막이 시공	B01
0fc32650fd18a1111343dd4d6b5fbcd4ef3a7db9ee0eff941c5b3ce7ca6bdf3b	c4b70e8dc6758d004799ee4d2983759fd58654017e1b4b421d92d4d3f84f1190	교량 및 도로	발파작업	발파 장약	교량 및 도로 > 발파작업 > 발파 장약	MAP_EXISTING_CANONICAL	bae014b7-2474-48f7-b5c0-0e9f30a0ff56	발파	NARROWER_THAN	EXPLOSIVE_CHARGING_IS_A_SPECIFIC_SUBACTIVITY_OF_BLASTING	HIGH	bfa75ed7cb87368f9b0744188bd07ac87a495d641945e0e731565fda6517fde8	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B01	발파 장약	교량 및 도로 > 발파작업 > 발파 장약	B01
