review_key	source_key	project_kind	work_type	source_name	source_path	gpt_semantic_decision	gpt_target_canonical_id	gpt_target_canonical_name	gpt_mapping_type	gpt_reason	gpt_confidence_class	input_evidence_sha	canonical_reference_sha	review_authority	review_batch
166e996febc82f5819036f19d1c507552a0e0e6b73495158d54519b23b604a80	94274fa793458606f074ff70206df203f1e2c916bae5a247372e8421e1bd9f32	터널	터널굴착작업	터널 장약	터널 > 터널굴착작업 > 터널 장약	MAP_EXISTING_CANONICAL	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	NARROWER_THAN	TUNNEL_EXPLOSIVE_CHARGING_IS_A_SPECIFIC_SUBACTIVITY_OF_CANONICAL_TUNNEL_BLAST_EXCAVATION	HIGH	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
2c6c20a1b1e14e72e2b34a73c37d7318fba2a91895be9a9e073b568c7a081ce3	14a514e4b4205495ba687d3beceb71ed8200dffe9dcb53a5b857d15041f1d8d3	터널	터널배수작업	터널배수	터널 > 터널배수작업 > 터널배수	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
3894195db2f8db54621298d038f680606f466dfc95afc25dca93c8fa62394f01	eb28eeaeae8047f48c7688a6504ad630c22eaba7d0dee25c0bcd24b2bfc644a9	터널	터널방수작업	터널 방수쉬트설치	터널 > 터널방수작업 > 터널 방수쉬트설치	MAP_EXISTING_CANONICAL	30fe37a0-0bd8-4c44-bd9b-76b3625115f5	터널방수	NARROWER_THAN	TUNNEL_WATERPROOF_SHEET_INSTALLATION_IS_A_SPECIFIC_SUBACTIVITY_OF_CANONICAL_TUNNEL_WATERPROOFING	HIGH	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
516885dcc39e2039efde07a32448211b30ca99e3cc234ab0130895834822477b	1ed86919bb1bfc439bc896b940581c4527a8b1d9f5ecb32a6ec161fb1908efcb	터널	작업환경	작업환경 (환기)	터널 > 작업환경 > 작업환경 (환기)	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
5c800f63f14312ed1444235845a40cf6f5363f2118ffdf6903c049949fe1390a	60f0dc4f1e086ef6fdf609d2a58aa6a763aad5b66105d8f90aa3190821689455	터널	작업환경	작업환경 (분진)	터널 > 작업환경 > 작업환경 (분진)	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
75dbc84108299d287026eb95a0426e6c831aeb74c4ca8e08c041297d6230ea15	b96a7092ad658bafd34d873684ae2e40629a8a07d1b2f88a6770ec3813e747ec	터널	철근작업	철근조립	터널 > 철근작업 > 철근조립	MAP_EXISTING_CANONICAL	be965f09-464b-4d53-9be4-d72f44d3d1ee	철근가공및조립	NARROWER_THAN	REBAR_ASSEMBLY_IS_A_SPECIFIC_COMPONENT_OF_CANONICAL_REBAR_PROCESSING_AND_ASSEMBLY	HIGH	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
9089154fbbc698affd5b16d090ab70136ae349866bcd3d46e2cd1b12d91d8941	b5c2c7e308afff568661d4cf9b5c75808202267fb40652485820321bb53daca6	터널	터널보강작업	터널 강지보	터널 > 터널보강작업 > 터널 강지보	CANONICAL_GAP				VALID_TASK_BUT_NO_SUITABLE_SINGLE_CANONICAL_TASK_IN_FROZEN_REFERENCE	MEDIUM	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
92e8ce3fb60173e1756f7fc5d055efb81f9800313cd07b8220c3fd3d95040a38	94f5a8315ad5ae766cb46443c8aac14bcea21c7151c3e7307a35fbae58b6c845	터널	터널보강작업	터널 특수보강	터널 > 터널보강작업 > 터널 특수보강	AMBIGUOUS			AMBIGUOUS	GENERIC_SPECIAL_TUNNEL_REINFORCEMENT_DOES_NOT_IDENTIFY_A_SINGLE_REINFORCEMENT_METHOD_OR_CANONICAL_TASK	MEDIUM	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
a41cc96a883fec6378a14ed2ea86681f3b252f5aa8369eebf1e2dc9fc1dbd577	1a96feace5107425b59d1eef646378a1066f6f3b0a7632ce0a9e03683049c1d2	터널	터널굴착작업	터널 천공	터널 > 터널굴착작업 > 터널 천공	MAP_EXISTING_CANONICAL	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	NARROWER_THAN	TUNNEL_BLAST_HOLE_DRILLING_IS_A_SPECIFIC_SUBACTIVITY_OF_CANONICAL_TUNNEL_BLAST_EXCAVATION	HIGH	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
aab35b3a56cba653ec6e7fcba48d5a436d9dc9088292630c5c262f2349bbafca	f086bf982a6e5b4e0456a1a602df8373a766053f4d2a829ba5ae919befe5a5ca	터널	특수터널작업	특수터널 (Shield 공법)	터널 > 특수터널작업 > 특수터널 (Shield 공법)	NO_MATCH			NO_MATCH	SOURCE_CONCEPT_IS_NOT_A_TASK_SEMANTIC_FOR_CURRENT_CANONICAL_TASK_UNIVERSE	HIGH	b1c9ed4280fc971257561a2696df5748c9411c50a0c9330805375d7114af0060	a22f3a83f3cc2563554eb04b71ac8afc1faff44e3a6a594dd265ff04baafa2a6	GPT	B07
