law_id,law_name,remaining,status
d80c5867-c1c9-47fe-ac68-fef87f83b418,건축법,833,PARTIAL
3309d8bf-3f3b-4cec-8d4e-2591d34b475a,대기환경보전법 시행규칙,716,PARTIAL
7e480af7-c3cf-4c34-98dd-9b955509ae89,항공위험물운송기술기준,657,PARTIAL
e5199b2b-7066-4079-8a5e-b19988db4373,폐기물관리법,514,PARTIAL
68fb6b1f-e072-4526-9852-a1355f494bc0,건설기계관리법 시행규칙,404,PARTIAL
82f44e68-eba0-40bf-8c8d-43f873381aec,도시가스사업법 시행규칙,393,PARTIAL
d257fa35-31a6-4d6e-9dc4-c96570e7f3be,액화석유가스의 안전관리 및 사업법 시행규칙,324,PARTIAL
15bc0ae7-1457-4abd-a2f3-f622c35fb856,화학물질관리법 시행규칙,273,PARTIAL
8b739539-0504-441f-87f0-90126e8e5617,건설기계관리법,252,PARTIAL
da3532b6-2a70-4092-bb36-64a7690d678d,화재의 예방 및 안전관리에 관한 법률 시행령,244,PARTIAL
08d6dc41-7968-44d3-aeab-7a8a85953607,승강기 안전관리법 시행규칙,238,PARTIAL
1f330e6d-7889-4839-9d24-98a0c0f26cd0,산업안전보건법 시행규칙,219,PARTIAL
b78176a0-7fc5-4aa7-a962-d2f0bcb047af,고압가스 안전관리법 시행규칙,204,PARTIAL
9d47c5cc-8d05-4d34-ad78-68ad8bd9145e,작업환경측정 및 정도관리 등에 관한 고시,183,PARTIAL
a64340bc-2b92-4041-b58e-0ea5b5f5363b,시설물의 안전 및 유지관리에 관한 특별법 시행령,183,PARTIAL
0ad671e7-8efb-41a0-adff-28b13cd6d3ab,승강기 안전관리법 시행령,178,PARTIAL
c9fbc56f-50f9-4096-91a0-e3db694a2821,화학물질의 등록 및 평가 등에 관한 법률,177,PARTIAL
d3b7e60a-c626-40a4-87a3-1c461764886a,건설기술 진흥법 시행령,164,PARTIAL
a1b9b68a-165b-4f87-8184-efb116aff521,에너지이용 합리화법 시행규칙,153,PARTIAL
818c9da8-ee8b-4207-bb41-046d149f3f16,전기안전관리법 시행규칙,148,PARTIAL
4c633561-8d78-4a6a-9bac-8377541a15b6,"고압가스 및 액화석유가스 ISO 탱크 컨테이너의 제조, 충전·운반, 저장·사용에 관한 기준",147,PARTIAL
b08b4671-b0eb-42d0-a40b-cb7de4b1869a,고압가스 안전관리법 시행령,137,PARTIAL
dfa15c2b-62b1-4e24-ba8d-d6b82739229d,건축물관리법,128,PARTIAL
87fc9c5f-9b82-467a-9849-88f81ef06b6d,시설물의 안전 및 유지관리에 관한 특별법 시행규칙,127,PARTIAL
1759248e-176a-45d9-bb5f-1fe46687d034,위험물안전관리에 관한 세부기준,124,PARTIAL
9f69525b-3dad-4520-adfb-b15e1483dbc6,선내 안전·보건 및 사고예방 기준,118,PARTIAL
ea7b44e1-63ad-4364-abf9-c1ff33d03c8f,위험물안전관리법 시행규칙,113,PARTIAL
334533e1-9bf2-4962-ad70-51dac75961c3,전기설비기술기준,111,PARTIAL
a2652d40-fa2c-4dc0-8409-57aeea0b2e27,법원 안전보건관리지침,109,PARTIAL
35a04327-b2a9-4c3e-b0be-69e9d6eb95b3,건축물의 에너지절약설계기준,107,PARTIAL
3d644c5a-1491-4d45-a0a7-9badcc017c4a,집단에너지사업법,105,PARTIAL
fe1c7dce-f038-4aee-beed-4be231bf7c29,에너지이용 합리화법 시행령,105,PARTIAL
2b3d92db-40d2-433c-9adb-745d6950027e,건축물관리법 시행규칙,102,PARTIAL
5c60484c-3cca-419f-9a3d-e5efccc975a8,근로기준법,95,PARTIAL
76cff8fb-786f-4d31-b892-5ed05dd34a2a,집단에너지사업법 시행규칙,94,PARTIAL
fafb780d-98a6-4aaf-8b00-5289563c64ea,안전보건교육규정,90,PARTIAL
714c67b3-9ea7-46c1-b600-2f73d7ecbe37,산업안전보건법 시행령,84,PARTIAL
9e70a72f-233a-4a62-addc-952f59d2912f,전기안전관리법 시행령,83,PARTIAL
84d88ae0-8ee0-4d7d-9736-a1d4608f45da,소방시설 설치 및 관리에 관한 법률 시행령,83,PARTIAL
777f7bce-d21a-4c06-8cf3-ca30cd40b276,전기공사업법 시행령,82,PARTIAL
8f5ed3d3-8d39-4187-9b04-7d0c94e3d714,소음ㆍ진동관리법,79,PARTIAL
ebf72c94-7e90-4f03-974e-48398e94bdc5,기존 건축물의 에너지성능 개선기준,69,PARTIAL
6130873e-7fd9-40b7-8e90-621761aff330,시설물의 안전 및 유지관리에 관한 특별법 시행령,67,PARTIAL
1d2f4b35-c5c6-4c9b-9609-045dd2f44318,한국전기설비규정,64,PARTIAL
f43fbfac-f7b6-4411-8ff8-939a9d7823dd,화학물질관리법 시행령,63,PARTIAL
b94952eb-2d20-4160-86cf-ffe81c8e8c26,화재의 예방 및 안전관리에 관한 법률 시행규칙,60,PARTIAL
3150bede-bc66-48db-942c-8deddb7911b8,액화석유가스의 안전관리 및 사업법 시행령,51,PARTIAL
54bffaae-0d51-4425-9552-9eca48e2343e,소방기본법,49,PARTIAL
c4d5dc56-d403-4d62-be7b-a28cebc3f1b6,철도운송 위험물용기등 검사 세부기준,49,PARTIAL
61e7b87d-b856-4079-9c9e-a79773cbc69b,소방공무원 보건안전관리 규정,44,PARTIAL
ef1e0019-61b8-495c-b9e2-f8e8565cadc7,악취방지법,43,PARTIAL
989aa7f7-cccb-400d-99f6-718de3528e4f,화학물질의 분류·표시 및 물질안전보건자료에 관한 기준,42,PARTIAL
6ff0339e-6149-4413-aa38-e8017bf14fec,소방시설 설치 및 관리에 관한 법률 시행규칙,35,PARTIAL
b05d0836-9d18-40bf-8ec4-4de64f736632,국립중앙과학관 전기시설안전관리규정,34,PARTIAL
fdbc741c-b31e-4364-9f63-d99bdac3a9aa,도시철도 내진설계기준,30,PARTIAL
bd2cdbd1-7ac2-4917-8313-73edc93cd178,도시가스사업법 시행규칙,30,PARTIAL
2baac8e1-62d0-4f30-8cc4-9b835422b0e0,국립보건연구원 생물안전관리규정,26,PARTIAL
aa0a2602-295c-4a3e-a678-7f037367c1af,안전·보건관리전문기관 및 건설재해예방전문지도기관 관리규정,24,PARTIAL
f460da90-fa34-41f6-aefe-43aac762de86,어린이놀이시설 안전관리법 시행규칙,24,PARTIAL
e8a900a1-92b7-4688-a621-79ee5d8b74ff,이동용 음식판매 화물자동차 내 액화석유가스 사용시설에 대한 특례기준,23,PARTIAL
d87bfeba-6c7c-4253-9453-215a1368fb54,기계설비법 시행령,21,PARTIAL
fcb3695b-1943-4cad-b1a2-0a4640c61469,도시가스의 품질기준 등에 관한 고시,21,PARTIAL
5953aed9-8d44-46bb-adec-dc83e7ea8d59,소방시설공사업법,20,PARTIAL
ff29dcfc-eb9e-464f-a7ef-cfdb63a96440,기계설비법,19,PARTIAL
4f3ed2dd-f057-4173-8899-0985578b3a6a,기계식주차장치의 안전기준 및 검사기준 등에 관한 규정,15,PARTIAL
15604d83-5dde-4cf9-aeb0-b89da2f7fd2f,고체에어로졸소화설비의 화재안전성능기준(NFPC 110),14,PARTIAL
96a47780-0fa0-48b1-ad33-d273b5bcbd6b,건설현장의 화재안전성능기준(NFPC 606),14,PARTIAL
385aef52-62b4-464f-837f-e487995898d3,소방시설 설치 및 관리에 관한 법률 시행령,13,PARTIAL
e5cd5f7a-4bba-4302-a951-96d85c48ec3c,스프링클러설비의 화재안전성능기준(NFPC 103),13,PARTIAL
834b6292-c466-41cc-90ca-8fe2743395b2,위험물안전관리법 시행령,12,PARTIAL
faebc113-0fe9-4ac0-a4c7-28fcac5b59cc,국립보건연구원 산업안전보건위원회 운영 규정,12,PARTIAL
0756c21d-49ee-4e2d-897d-d3b2d41de797,전기저장시설의 화재안전성능기준(NFPC 607),11,PARTIAL
449a5302-1957-411c-a508-ac69ddc6ebc0,수소의 안정적 보급·유통을 위한 고압가스 판매시설의 안전관리기준 등에 관한 특례기준,11,PARTIAL
e5d4fc62-3ba4-4485-9c22-dddec06285a4,건축법 시행령,870,FRESH
75e852f4-8793-43e1-af03-ee529692527c,산업집적활성화 및 공장설립에 관한 법률 시행령,730,FRESH
9bfcf7da-9607-4ef7-bed8-25ee8a7b90c1,산업재해보상보험법 시행령,481,FRESH
c2819d56-7e94-4019-b5f1-f93313d24b86,물환경보전법 시행규칙,479,FRESH
2f7735d2-add2-411a-9daf-84926d09f9d9,물환경보전법 시행령,461,FRESH
6bc94716-6ad2-42c8-9dc8-28a77fa5df00,물환경보전법,415,FRESH
828e3fbd-277c-4be8-bea6-bd892324301a,대기환경보전법 시행령,391,FRESH
5554d415-6d36-49a9-8040-44fd57b79f21,산업재해보상보험법,391,FRESH
3299bf84-da1f-41ea-a365-33794a3c527d,산업재해보상보험법 시행규칙,372,FRESH
dd350197-d00c-4fc9-b732-381f86585eff,건축법 시행규칙,333,FRESH
e7c73101-0496-4b43-a65e-7aa87170aed4,산업집적활성화 및 공장설립에 관한 법률,329,FRESH
6d107ba5-2948-46b9-8c90-fde66a5efeed,화학물질의 등록 및 평가 등에 관한 법률 시행규칙,321,FRESH
ce76f868-f011-49d9-9ab4-dbaa85a3605b,폐기물관리법 시행령,312,FRESH
5489bdec-3a2c-4459-8ad6-a1efbbb6664a,건축물관리법 시행령,306,FRESH
d5c5d6e5-e807-4d1b-b55a-73d726a3daf8,전기사업법 시행령,294,FRESH
5cad1149-16a9-4a13-a43b-62fa28ab8acf,산업집적활성화 및 공장설립에 관한 법률 시행규칙,279,FRESH
b6c2bfcd-a89b-4fd3-b66b-592aeef2bcb7,대기환경보전법,245,FRESH
49496765-6200-4344-8607-ac04e6b12706,전기사업법 시행규칙,187,FRESH
a782ded6-0f2f-4aa6-a31d-abd86bccc6cc,도시가스사업법 시행령,173,FRESH
7ef81175-5548-4392-83ae-be06f9467e8e,화학물질의 등록 및 평가 등에 관한 법률 시행령,171,FRESH
b1a46456-4a37-454a-8584-b547d6ee34d0,건설기계관리법 시행령,168,FRESH
a9400208-2db1-4c96-9811-815bc52da19b,근로감독관 집무규정(산업안전보건),167,FRESH
ef19c2e7-f75b-41e6-8819-0fb92dab1763,의료법,164,FRESH
40dda3fe-b11f-4b9e-a61f-7da4a8156eda,건설산업기본법,159,FRESH
e064126f-c362-431a-b403-5c25d926015a,폐기물관리법 시행규칙,157,FRESH
e2c229f5-f3a5-4f6a-8d57-bbfe1d7c0455,건설기계관리법 시행규칙,153,FRESH
0c05271e-881c-403f-a1a4-ac80ed0d2d53,의료법 시행규칙,149,FRESH
e683dbda-d87d-491f-a53e-78c0c5f21956,건설산업기본법 시행령,148,FRESH
b32b5abe-9df1-4de4-9809-d8d26440c9bc,수도법,132,FRESH
5024c654-7002-41f7-8a4c-b22b3041b748,전기공사업법,129,FRESH
ed5e413a-65b7-4d10-ad2e-3700351e10a4,건설기술 진흥법,128,FRESH
ee4dbc83-388e-45ee-b116-54b48fd8f7d3,물환경보전법 시행령,119,FRESH
